date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2008-01-02,Kuwait,Lebanon,3,2,Friendly,Kuwait,5,-5,1452,1332,3,-3,94,123
2008-01-05,Egypt,Namibia,3,0,Friendly,Egypt,2,-2,1701,1275,0,-1,40,135
2008-01-06,Tunisia,Zambia,1,2,Friendly,Tunisia,-15,15,1618,1578,-3,5,57,62
2008-01-08,Tunisia,Zambia,1,0,Friendly,Tunisia,6,-6,1624,1572,0,-1,57,63
2008-01-09,Nigeria,Sudan,2,0,Friendly,Spain,3,-3,1753,1387,1,-1,33,109
2008-01-10,Egypt,Mali,1,0,Friendly,the United Arab Emirates,6,-6,1707,1564,0,-2,40,67
2008-01-10,Qatar,Iran,0,0,Friendly,Qatar,6,-6,1474,1782,1,0,89,24
2008-01-10,United Arab Emirates,China,0,0,Dubai Challenge,the United Arab Emirates,2,-2,1438,1572,0,0,100,62
2008-01-11,Guinea,Sudan,6,0,Friendly,Spain,9,-9,1620,1378,0,-2,58,111
2008-01-12,Kuwait,Ivory Coast,0,2,Friendly,Kuwait,-7,7,1445,1763,-4,3,98,29
2008-01-12,Morocco,Zambia,2,0,Friendly,Morocco,7,-7,1693,1565,1,-4,41,66
2008-01-12,Senegal,Namibia,3,1,Friendly,Senegal,2,-2,1655,1273,1,-2,47,137
2008-01-13,Angola,Egypt,3,3,Friendly,Portugal,5,-5,1534,1702,2,0,77,40
2008-01-13,Barbados,Antigua and Barbuda,3,2,Friendly,Barbados,3,-3,1307,1082,0,0,130,176
2008-01-13,Costa Rica,Sweden,0,1,Friendly,Costa Rica,-8,8,1631,1806,-1,0,54,20
2008-01-13,Guyana,Saint Vincent and the Grenadines,1,0,Friendly,Guyana,7,-7,1347,1328,1,-4,118,124
2008-01-13,South Africa,Mozambique,2,0,Friendly,South Africa,6,-6,1490,1346,1,-2,87,119
2008-01-13,Syria,Qatar,0,0,Friendly,Syria,-4,4,1514,1478,-1,0,82,89
2008-01-16,Bahrain,Kuwait,1,0,Friendly,Bahrain,7,-7,1456,1438,3,-1,92,99
2008-01-16,Bermuda,Puerto Rico,0,2,Friendly,Bermuda,-27,27,1110,910,-4,3,174,198
2008-01-16,Morocco,Angola,2,1,Friendly,Morocco,4,-4,1697,1530,0,-2,41,79
2008-01-16,Senegal,Benin,2,1,Friendly,Burkina Faso,3,-3,1658,1376,0,-3,47,113
2008-01-16,South Africa,Botswana,2,1,Friendly,South Africa,3,-3,1493,1316,0,0,87,126
2008-01-18,Bermuda,Puerto Rico,0,1,Friendly,Bermuda,-17,17,1093,927,-1,4,175,194
2008-01-18,Dominica,Guadeloupe,0,3,Friendly,Dominica,-4,4,992,1456,0,3,186,92
2008-01-19,United States,Sweden,2,0,Friendly,the United States,13,-13,1772,1793,4,-1,27,21
2008-01-20,China,Lebanon,0,0,Friendly,China,-8,8,1564,1340,-4,3,66,119
2008-01-20,Ghana,Guinea,2,1,African Nations Cup,Ghana,10,-10,1770,1610,2,0,29,58
2008-01-20,Guyana,Grenada,1,2,Friendly,Guyana,-16,16,1331,1199,-4,4,122,157
2008-01-21,Ivory Coast,Nigeria,1,0,African Nations Cup,Ghana,24,-24,1787,1729,7,-4,24,37
2008-01-21,Mali,Benin,1,0,African Nations Cup,Ghana,13,-13,1577,1363,4,-2,62,115
2008-01-21,Morocco,Namibia,5,1,African Nations Cup,Ghana,8,-8,1705,1265,1,-2,40,139
2008-01-22,Belize,El Salvador,0,1,Friendly,Belize,-4,4,1048,1380,0,3,182,110
2008-01-22,Egypt,Cameroon,4,2,African Nations Cup,Ghana,41,-41,1743,1693,6,-6,35,41
2008-01-22,Zambia,Sudan,3,0,African Nations Cup,Ghana,22,-22,1587,1356,6,-6,60,116
2008-01-23,Angola,South Africa,1,1,African Nations Cup,Ghana,-3,3,1527,1496,0,0,79,87
2008-01-23,Bahrain,Syria,1,2,Friendly,Bahrain,-11,11,1445,1525,-5,2,97,80
2008-01-23,Senegal,Tunisia,2,2,African Nations Cup,Ghana,-2,2,1656,1626,0,1,47,56
2008-01-24,Ghana,Namibia,1,0,African Nations Cup,Ghana,1,-1,1771,1264,0,0,30,139
2008-01-24,Guinea,Morocco,3,2,African Nations Cup,Ghana,32,-32,1642,1673,7,-2,51,42
2008-01-24,Iraq,Jordan,1,1,Friendly,the United Arab Emirates,-3,3,1639,1520,-2,0,53,82
2008-01-24,Singapore,Kuwait,2,0,Friendly,Oman,18,-18,1378,1420,4,-3,111,102
2008-01-25,Ivory Coast,Benin,4,1,African Nations Cup,Ghana,7,-7,1794,1356,3,0,21,115
2008-01-25,Mali,Nigeria,0,0,African Nations Cup,Ghana,10,-10,1587,1719,3,-2,60,39
2008-01-26,Bahrain,Yemen,2,1,Friendly,Bahrain,2,-2,1447,1198,1,-1,96,157
2008-01-26,Cameroon,Zambia,5,1,African Nations Cup,Ghana,33,-33,1726,1554,1,-11,39,71
2008-01-26,Egypt,Sudan,3,0,African Nations Cup,Ghana,9,-9,1752,1347,2,-2,33,117
2008-01-26,Haiti,El Salvador,0,0,Friendly,Haiti,-6,6,1539,1386,-3,1,75,109
2008-01-26,Japan,Chile,0,0,Friendly,Japan,-4,4,1774,1732,0,2,27,36
2008-01-26,Puerto Rico,Trinidad and Tobago,2,2,Friendly,Puerto Rico,9,-9,936,1492,1,-2,193,87
2008-01-27,Angola,Senegal,3,1,African Nations Cup,Ghana,51,-51,1578,1605,16,-11,63,58
2008-01-27,China,Syria,2,1,Friendly,China,6,-6,1570,1519,1,-2,65,82
2008-01-27,Oman,Singapore,2,0,Friendly,Oman,6,-6,1539,1372,1,-2,76,113
2008-01-27,Saint Vincent and the Grenadines,Guyana,2,2,Friendly,Saint Vincent and the Grenadines,-3,3,1325,1334,0,2,124,120
2008-01-27,Tunisia,South Africa,3,1,African Nations Cup,Ghana,24,-24,1650,1472,8,-3,49,89
2008-01-28,Ghana,Morocco,2,0,African Nations Cup,Ghana,18,-18,1789,1655,6,-4,24,46
2008-01-28,Guinea,Namibia,1,1,African Nations Cup,Ghana,-20,20,1622,1284,-6,6,57,133
2008-01-28,Jordan,Lebanon,4,1,Friendly,Jordan,6,-6,1526,1334,1,0,80,119
2008-01-29,Haiti,El Salvador,0,0,Friendly,Haiti,-6,6,1533,1392,-2,1,78,108
2008-01-29,Ivory Coast,Mali,3,0,African Nations Cup,Ghana,20,-20,1814,1567,3,-6,18,66
2008-01-29,Nigeria,Benin,2,0,African Nations Cup,Ghana,8,-8,1727,1348,1,-1,39,116
2008-01-29,Trinidad and Tobago,Guyana,2,1,Friendly,Trinidad and Tobago,4,-4,1496,1330,0,-3,86,122
2008-01-30,Cameroon,Sudan,3,0,African Nations Cup,Ghana,9,-9,1735,1338,3,-1,37,118
2008-01-30,Egypt,Zambia,1,1,African Nations Cup,Ghana,-13,13,1739,1567,-3,6,36,66
