date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2024-01-01,Japan,Thailand,5,0,Friendly,Japan,1,-1,1906,1383,0,0,13,109
2024-01-01,Hong Kong,China,2,1,Friendly,the United Arab Emirates,18,-18,1085,1434,4,-3,175,96
2024-01-02,Libya,Indonesia,4,0,Friendly,Turkey,15,-15,1372,1270,4,-2,112,148
2024-01-04,Tajikistan,Hong Kong,2,1,Friendly,the United Arab Emirates,3,-3,1379,1082,1,0,110,175
2024-01-04,Saudi Arabia,Lebanon,1,0,Friendly,Qatar,3,-3,1589,1310,1,-2,62,136
2024-01-05,Togo,Algeria,0,3,Friendly,Togo,-7,7,1387,1730,-2,1,107,38
2024-01-05,Qatar,Jordan,1,2,Friendly,Qatar,-14,14,1520,1517,-3,1,73,75
2024-01-05,Libya,Indonesia,2,1,Friendly,Turkey,7,-7,1379,1263,2,-2,110,150
2024-01-05,Kyrgyzstan,Syria,1,1,Friendly,the United Arab Emirates,5,-5,1257,1421,2,-2,152,100
2024-01-05,Iran,Burkina Faso,2,1,Friendly,Iran,2,-2,1829,1562,0,0,20,66
2024-01-06,United Arab Emirates,Oman,0,1,Friendly,the United Arab Emirates,-12,12,1518,1568,-3,2,74,65
2024-01-06,Tunisia,Mauritania,0,0,Friendly,Tunisia,-9,9,1729,1398,-2,2,38,104
2024-01-06,South Korea,Iraq,1,0,Friendly,the United Arab Emirates,5,-5,1804,1616,2,-3,22,58
2024-01-06,Mozambique,Lesotho,2,0,Friendly,South Africa,10,-10,1364,1231,0,-1,117,157
2024-01-06,Mali,Guinea-Bissau,6,2,Friendly,Mali,6,-6,1620,1407,3,-2,55,103
2024-01-06,Ivory Coast,Sierra Leone,5,1,Friendly,Ivory Coast,3,-3,1645,1308,1,-2,50,136
2024-01-06,Australia,Bahrain,2,0,Friendly,the United Arab Emirates,4,-4,1788,1445,0,0,27,93
2024-01-06,Angola,DR Congo,0,0,Friendly,the United Arab Emirates,3,-3,1388,1494,1,-2,107,80
2024-01-07,Uzbekistan,Palestine,1,0,Friendly,Qatar,4,-4,1647,1405,1,-2,50,103
2024-01-07,Egypt,Tanzania,2,0,Friendly,Egypt,2,-2,1686,1347,0,-1,47,119
2024-01-08,Senegal,Niger,1,0,Friendly,Senegal,1,-1,1732,1236,0,0,36,156
