date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2001-01-04,Kenya,Zambia,2,1,Friendly,Kenya,11,-11,1339,1444,3,-5,119,91
2001-01-06,Costa Rica,Guatemala,5,2,World Cup qualifier,the United States,32,-32,1638,1543,5,-6,53,67
2001-01-06,Egypt,United Arab Emirates,2,1,Friendly,Egypt,4,-4,1686,1542,0,0,42,68
2001-01-06,Namibia,Lesotho,1,0,Friendly tournament,Swaziland,10,-10,1336,1186,4,-2,120,158
2001-01-06,Qatar,Jordan,3,1,Friendly,Qatar,10,-10,1505,1459,2,-1,76,81
2001-01-06,Swaziland,Angola,1,0,Friendly tournament,Swaziland,23,-23,1194,1445,7,-8,156,90
2001-01-07,Angola,Lesotho,2,0,Friendly tournament,Swaziland,8,-8,1453,1178,4,-2,86,160
2001-01-07,Swaziland,Namibia,2,1,Friendly tournament,Swaziland,17,-17,1211,1319,3,-4,153,124
2001-01-07,Togo,Burkina Faso,1,1,Friendly,Togo,-3,3,1419,1418,-5,2,101,102
2001-01-09,Egypt,Zambia,3,1,Friendly,Egypt,4,-4,1690,1440,0,0,42,91
2001-01-09,Swaziland,Lesotho,2,2,Friendly,Swaziland,-4,4,1207,1182,-1,1,154,159
2001-01-12,Algeria,Burundi,2,1,African Nations Cup qualifier,Algeria,8,-8,1515,1369,1,0,74,113
2001-01-12,Bosnia and Herzegovina,Bangladesh,2,0,Millenium Cup,India,2,-2,1550,1019,1,0,65,186
2001-01-12,Qatar,Kuwait,1,0,Friendly,Qatar,10,-10,1515,1610,2,0,74,57
2001-01-13,Burkina Faso,Angola,1,0,African Nations Cup qualifier,Burkina Faso,16,-16,1434,1437,9,-5,93,91
2001-01-13,India,Iceland,0,3,Millenium Cup,India,-5,5,1085,1600,0,0,176,59
2001-01-13,Kenya,Gabon,2,1,African Nations Cup qualifier,Kenya,19,-19,1358,1396,2,-3,117,108
2001-01-13,Mauritius,South Africa,1,1,African Nations Cup qualifier,Mauritius,15,-15,1242,1651,4,-3,144,51
2001-01-13,Namibia,Madagascar,2,2,African Nations Cup qualifier,Namibia,2,-2,1321,1456,0,-2,124,85
2001-01-13,Nigeria,Zambia,1,0,African Nations Cup qualifier,Nigeria,4,-4,1705,1436,0,-1,40,92
2001-01-13,Tunisia,Morocco,0,1,African Nations Cup qualifier,Tunisia,-24,24,1613,1686,-2,7,56,43
2001-01-13,Uganda,Senegal,1,1,African Nations Cup qualifier,Uganda,-5,5,1431,1459,-2,4,95,81
2001-01-14,DR Congo,Ghana,2,1,African Nations Cup qualifier,DR Congo,18,-18,1467,1491,7,-2,80,78
2001-01-14,Egypt,Libya,4,0,African Nations Cup qualifier,Egypt,9,-9,1699,1437,1,-2,41,91
2001-01-14,Guinea,Togo,0,0,African Nations Cup qualifier,Guinea,-10,10,1492,1429,0,5,77,97
2001-01-14,Liberia,Congo,5,1,African Nations Cup qualifier,Liberia,27,-27,1449,1395,10,-11,87,108
2001-01-14,Zimbabwe,Lesotho,1,2,African Nations Cup qualifier,Zimbabwe,-36,36,1442,1218,-10,7,89,152
2001-01-16,Jordan,Hong Kong,2,0,Millenium Cup,India,9,-9,1468,1200,1,-2,80,156
2001-01-17,China,Egypt,0,0,Ancient Civilizations Cup,Iran,1,-1,1680,1698,0,0,44,41
2001-01-17,Israel,Uzbekistan,2,0,Friendly,Israel,4,-4,1679,1455,1,-3,45,85
2001-01-17,Kuwait,Syria,2,0,Friendly,Qatar,12,-12,1622,1516,2,-1,55,72
2001-01-19,Iran,China,4,0,Ancient Civilizations Cup,Iran,16,-16,1759,1664,4,-4,28,48
2001-01-20,Ivory Coast,Sudan,2,0,African Nations Cup qualifier,Ivory Coast,7,-7,1579,1320,0,-1,61,124
2001-01-20,Mali,Guinea,0,1,Friendly,Mali,-11,11,1405,1503,-3,1,105,76
2001-01-21,Madagascar,Mayotte,1,0,Friendly,Madagascar,2,-2,1458,1212,1,0,83,153
2001-01-21,Saint Kitts,Antigua and Barbuda,2,0,Leeward Islands Tournament,the US VirgIslands,19,-19,1244,1145,6,-2,144,166
2001-01-23,Burkina Faso,Mali,0,2,Friendly,Burkina Faso,-20,20,1414,1425,-10,8,104,97
2001-01-23,Egypt,North Korea,1,0,Friendly,Egypt,2,-2,1700,1447,0,-1,41,88
2001-01-23,Thailand,Kuwait,5,4,Friendly,Thailand,10,-10,1546,1612,3,-2,67,57
2001-01-24,Mexico,Bulgaria,0,2,Friendly,Mexico,-25,25,1799,1687,-3,7,20,43
2001-01-24,Norway,South Korea,3,2,Carlsberg Cup,Hong Kong,13,-13,1817,1751,3,-5,17,31
2001-01-25,Benin,Cameroon,1,3,Friendly,Benin,-3,3,1237,1722,0,0,147,34
