date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2011-01-02,China,Iraq,3,2,Friendly,Qatar,9,-9,1637,1580,2,-3,53,65
2011-01-02,Iran,Angola,1,0,Friendly,Qatar,4,-4,1697,1454,0,-3,39,102
2011-01-02,Jordan,Uzbekistan,2,2,Friendly,the United Arab Emirates,1,-1,1472,1506,-1,0,95,85
2011-01-02,United Arab Emirates,Syria,2,0,Friendly,the United Arab Emirates,13,-13,1483,1518,3,-6,92,83
2011-01-04,Bahrain,North Korea,0,1,Friendly,Bahrain,-11,11,1457,1536,-2,3,99,76
2011-01-04,Saudi Arabia,Angola,0,0,Friendly,Saudi Arabia,-7,7,1652,1461,-3,5,49,97
2011-01-05,Egypt,Tanzania,5,1,Nile Basin Tournament,Egypt,3,-3,1780,1392,0,0,20,112
2011-01-05,Kenya,Sudan,1,0,Nile Basin Tournament,Egypt,17,-17,1290,1298,4,-4,135,132
2011-01-05,United Arab Emirates,Australia,0,0,Friendly,the United Arab Emirates,5,-5,1488,1770,0,0,92,22
2011-01-05,Uganda,Burundi,3,1,Nile Basin Tournament,Egypt,5,-5,1565,1204,2,-1,71,154
2011-01-07,Qatar,Uzbekistan,0,2,Asian Cup,Qatar,-49,49,1471,1555,-13,11,95,74
2011-01-08,Burundi,Tanzania,1,1,Nile Basin Tournament,Egypt,7,-7,1211,1385,1,-1,153,113
2011-01-08,China,Kuwait,2,0,Asian Cup,Qatar,37,-37,1674,1598,10,-6,43,60
2011-01-08,DR Congo,Kenya,1,0,Nile Basin Tournament,Egypt,11,-11,1403,1279,2,-4,110,139
2011-01-08,Egypt,Uganda,1,0,Nile Basin Tournament,Egypt,4,-4,1784,1561,1,-2,19,73
2011-01-09,Japan,Jordan,1,1,Asian Cup,Qatar,-18,18,1767,1490,-4,3,22,91
2011-01-09,Syria,Saudi Arabia,2,1,Asian Cup,Qatar,34,-34,1552,1618,8,-6,75,56
2011-01-10,Australia,India,4,0,Asian Cup,Qatar,3,-3,1773,1150,0,-1,21,167
2011-01-10,South Korea,Bahrain,2,1,Asian Cup,Qatar,8,-8,1748,1449,2,-3,26,102
2011-01-11,DR Congo,Sudan,2,1,Nile Basin Tournament,Egypt,11,-11,1414,1287,2,-3,108,135
2011-01-11,Egypt,Burundi,3,0,Nile Basin Tournament,Egypt,1,-1,1785,1210,0,0,18,153
2011-01-11,Iran,Iraq,2,1,Asian Cup,Qatar,17,-17,1714,1563,4,-7,35,72
2011-01-11,North Korea,United Arab Emirates,0,0,Asian Cup,Qatar,-3,3,1533,1491,-1,1,79,91
2011-01-11,Tanzania,Uganda,1,1,Nile Basin Tournament,Egypt,7,-7,1392,1554,0,-1,113,74
2011-01-12,Qatar,China,2,0,Asian Cup,Qatar,48,-48,1519,1626,11,-11,84,54
2011-01-12,Uzbekistan,Kuwait,2,1,Asian Cup,Qatar,28,-28,1583,1570,10,-8,63,68
2011-01-13,Japan,Syria,2,1,Asian Cup,Qatar,11,-11,1778,1541,2,-2,20,77
2011-01-13,Jordan,Saudi Arabia,1,0,Asian Cup,Qatar,34,-34,1524,1584,10,-6,83,62
2011-01-14,Australia,South Korea,1,1,Asian Cup,Qatar,-2,2,1771,1750,0,0,22,26
2011-01-14,Bahrain,India,5,2,Asian Cup,Qatar,13,-13,1462,1137,5,-3,97,170
2011-01-14,Costa Rica,Honduras,1,1,CONCACAF Champ q & C Am Cup,Panama,0,0,1668,1675,0,0,43,42
2011-01-14,Egypt,Kenya,5,1,Nile Basin Tournament,Egypt,2,-2,1787,1277,0,0,18,139
2011-01-14,El Salvador,Nicaragua,2,0,CONCACAF Champ q & C Am Cup,Panama,5,-5,1485,1071,0,0,94,178
2011-01-14,Panama,Belize,2,0,CONCACAF Champ q & C Am Cup,Panama,2,-2,1588,1089,1,0,60,176
2011-01-14,Uganda,DR Congo,1,0,Nile Basin Tournament,Egypt,9,-9,1563,1405,1,-1,73,109
2011-01-15,Iran,North Korea,1,0,Asian Cup,Qatar,13,-13,1727,1520,2,-5,33,84
2011-01-15,Iraq,United Arab Emirates,1,0,Asian Cup,Qatar,20,-20,1583,1471,10,-2,63,95
2011-01-16,China,Uzbekistan,2,2,Asian Cup,Qatar,-3,3,1623,1586,0,1,54,62
2011-01-16,Costa Rica,Guatemala,2,0,CONCACAF Champ q & C Am Cup,Panama,14,-14,1682,1443,1,-2,42,102
2011-01-16,El Salvador,Belize,5,2,CONCACAF Champ q & C Am Cup,Panama,6,-6,1491,1083,0,0,93,176
2011-01-16,Panama,Nicaragua,2,0,CONCACAF Champ q & C Am Cup,Panama,2,-2,1590,1069,0,-1,60,179
2011-01-16,Qatar,Kuwait,3,0,Asian Cup,Qatar,38,-38,1557,1532,11,-10,74,79
2011-01-16,Sudan,Tanzania,2,0,Nile Basin Tournament,Egypt,29,-29,1316,1363,7,-5,128,118
2011-01-17,DR Congo,Kenya,1,0,Nile Basin Tournament,Egypt,10,-10,1415,1267,1,0,108,139
2011-01-17,Egypt,Uganda,3,1,Nile Basin Tournament,Egypt,6,-6,1793,1557,-1,0,19,73
2011-01-17,Japan,Saudi Arabia,5,0,Asian Cup,Qatar,25,-25,1803,1559,3,-9,17,72
2011-01-17,Jordan,Syria,2,1,Asian Cup,Qatar,26,-26,1550,1515,6,-8,77,85
2011-01-18,Australia,Bahrain,1,0,Asian Cup,Qatar,7,-7,1778,1455,1,-3,21,100
2011-01-18,Belize,Nicaragua,1,1,CONCACAF Champ q & C Am Cup,Panama,-1,1,1082,1070,0,1,176,178
2011-01-18,Honduras,Guatemala,3,1,CONCACAF Champ q & C Am Cup,Panama,12,-12,1687,1431,2,-4,41,106
2011-01-18,Panama,El Salvador,2,0,CONCACAF Champ q & C Am Cup,Panama,14,-14,1604,1477,3,0,57,93
2011-01-18,South Korea,India,4,1,Asian Cup,Qatar,2,-2,1752,1135,0,0,26,170
2011-01-19,Iran,United Arab Emirates,3,0,Asian Cup,Qatar,16,-16,1743,1455,5,-4,28,99
2011-01-19,Iraq,North Korea,1,0,Asian Cup,Qatar,21,-21,1604,1499,6,-6,57,90
2011-01-19,Sweden,Botswana,2,1,Friendly,South Africa,2,-2,1814,1429,0,-1,14,107
2011-01-21,Guatemala,Nicaragua,2,1,CONCACAF Champ q & C Am Cup,Panama,4,-4,1435,1066,2,-2,104,180
2011-01-21,Honduras,El Salvador,2,0,Central American Cup,Panama,14,-14,1701,1463,1,-2,40,95
2011-01-21,Panama,Costa Rica,1,1,Central American Cup,Panama,-1,1,1603,1683,-3,0,60,43
2011-01-21,Qatar,Japan,2,3,Asian Cup,Qatar,-15,15,1542,1818,-3,3,76,14
2011-01-21,Uzbekistan,Jordan,2,1,Asian Cup,Qatar,22,-22,1608,1528,7,-3,56,80
2011-01-22,Australia,Iraq,1,0,Asian Cup,Qatar,13,-13,1791,1591,1,-4,20,62
2011-01-22,South Korea,Iran,1,0,Asian Cup,Qatar,24,-24,1776,1719,3,-6,23,34
2011-01-22,United States,Chile,1,1,Friendly,the United States,1,-1,1768,1892,-1,0,24,9
2011-01-23,Honduras,Costa Rica,2,1,Central American Cup,Panama,19,-19,1720,1664,6,-2,34,45
2011-01-23,Panama,El Salvador,0,0,Central American Cup,Panama,-12,12,1591,1475,-2,2,61,93
2011-01-24,Vanuatu,New Caledonia,0,0,Friendly,Vanuatu,-1,1,1223,1286,0,0,150,136
2011-01-25,Australia,Uzbekistan,6,0,Asian Cup,Qatar,27,-27,1818,1581,6,-7,14,63
2011-01-25,Japan,South Korea,2,2,Asian Cup,Qatar,-3,3,1815,1779,-1,1,15,22
