date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2021-01-12,United Arab Emirates,Iraq,0,0,Friendly,the United Arab Emirates,3,-3,1432,1624,1,-1,95,52
2021-01-18,Kuwait,Palestine,0,1,Friendly,Kuwait,-13,13,1408,1415,-5,3,103,100
2021-01-19,Dominican Republic,Puerto Rico,0,1,Friendly,the Dominican Republic,-17,17,1165,991,-4,0,168,191
2021-01-22,Guatemala,Puerto Rico,1,0,Friendly,Guatemala,1,-1,1487,990,1,0,84,191
2021-01-25,Dominican Republic,Serbia,0,0,Friendly,the Dominican Republic,9,-9,1174,1780,2,-1,166,26
2021-01-27,Iraq,Kuwait,2,1,Friendly,Iraq,3,-3,1627,1405,1,0,51,103
2021-01-28,Panama,Serbia,0,0,Friendly,Panama,4,-4,1538,1776,0,0,73,26
2021-01-31,United States,Trinidad and Tobago,7,0,Friendly,the United States,2,-2,1747,1343,1,-2,34,120
2021-02-01,Jordan,Tajikistan,2,0,Friendly,the United Arab Emirates,5,-5,1497,1224,1,-2,81,152
2021-02-05,Tajikistan,Jordan,1,0,Friendly,the United Arab Emirates,17,-17,1241,1480,2,-6,150,87
2021-02-15,Uzbekistan,Jordan,2,0,Friendly,the United Arab Emirates,12,-12,1563,1468,3,-2,68,89
2021-02-24,Guatemala,Nicaragua,1,0,Friendly,Guatemala,2,-2,1489,1206,0,-1,83,159
2021-03-05,Bermuda,Bahamas,3,0,Friendly,the United States,3,-3,1299,894,0,-1,132,202
2021-03-07,Bahamas,Bermuda,0,0,Friendly,the United States,8,-8,902,1291,1,-4,201,136
2021-03-13,Kenya,South Sudan,1,0,Friendly,Kenya,2,-2,1351,1088,1,0,116,182
2021-03-15,Kenya,Tanzania,2,1,Friendly,Kenya,6,-6,1357,1286,1,-2,115,137
2021-03-17,Ethiopia,Malawi,4,0,Friendly,Ethiopia,17,-17,1290,1318,2,-6,136,128
2021-03-19,Barbados,Turks and Caicos Islands,2,0,Friendly,the Dominican Republic,5,-5,1105,795,0,0,180,210
2021-03-20,Jordan,Oman,0,0,Friendly,the United Arab Emirates,1,-1,1469,1503,0,-1,89,79
2021-03-21,Antigua and Barbuda,British Virgin Islands,3,0,Friendly,Curaçao,1,-1,1157,607,1,0,170,231
2021-03-21,Anguilla,US Virgin Islands,0,0,Friendly,the United States,4,-4,550,702,0,0,236,218
2021-03-21,Barbados,Turks and Caicos Islands,5,0,Friendly,the Dominican Republic,6,-6,1111,789,0,0,180,210
2021-03-24,Qatar,Luxembourg,1,0,Friendly,Hungary,3,-3,1641,1360,-2,-1,49,114
2021-03-24,Kosovo,Lithuania,4,0,Friendly,Kosovo,8,-8,1499,1362,1,-1,81,112
2021-03-24,Jordan,Lebanon,1,0,Friendly,the United Arab Emirates,8,-8,1477,1389,1,1,88,104
2021-03-24,Belarus,Honduras,1,1,Friendly,Belarus,0,0,1496,1610,-1,0,82,56
2021-03-24,Uganda,Burkina Faso,0,0,African Nations Cup qualifier,Uganda,-2,2,1480,1552,0,1,86,71
2021-03-24,Sao Tome and Principe,Sudan,0,2,African Nations Cup qualifier,Sao Tome and Principe,-18,18,1065,1347,0,6,183,118
2021-03-24,Rwanda,Mozambique,1,0,African Nations Cup qualifier,Rwanda,16,-16,1284,1273,3,-2,138,139
2021-03-24,Malawi,South Sudan,1,0,African Nations Cup qualifier,Sudan,8,-8,1326,1080,1,0,127,182
2021-03-24,Guinea,Mali,1,0,African Nations Cup qualifier,Guinea,22,-22,1455,1551,2,-7,92,72
2021-03-24,Ethiopia,Madagascar,4,0,African Nations Cup qualifier,Ethiopia,41,-41,1331,1380,11,-9,125,107
2021-03-24,Turkey,Netherlands,4,2,World Cup qualifier,Turkey,42,-42,1794,1952,9,-3,24,10
2021-03-24,Slovenia,Croatia,1,0,World Cup qualifier,Slovenia,27,-27,1655,1833,5,-1,45,17
2021-03-24,Serbia,Ireland,3,2,World Cup qualifier,Serbia,9,-9,1785,1649,-1,-1,27,47
2021-03-24,Portugal,Azerbaijan,1,0,World Cup qualifier,Italy,1,-1,2039,1382,0,1,5,106
2021-03-24,Malta,Russia,1,3,World Cup qualifier,Malta,-5,5,1209,1749,-2,2,157,34
2021-03-24,Latvia,Montenegro,1,2,World Cup qualifier,Latvia,-11,11,1250,1542,-2,1,147,73
2021-03-24,Gibraltar,Norway,0,3,World Cup qualifier,Gibraltar,-3,3,1091,1766,0,-2,181,31
2021-03-24,France,Ukraine,1,1,World Cup qualifier,France,-15,15,2076,1849,0,1,3,16
2021-03-24,Finland,Bosnia and Herzegovina,2,2,World Cup qualifier,Finland,-9,9,1698,1643,0,0,40,48
2021-03-24,Czechia,Estonia,6,2,World Cup qualifier,Poland,8,-8,1768,1374,1,-2,30,110
2021-03-24,Cyprus,Slovakia,0,0,World Cup qualifier,Cyprus,12,-12,1337,1652,3,-2,122,46
2021-03-24,Belgium,Wales,3,1,World Cup qualifier,Belgium,6,-6,2116,1823,0,-1,2,19
2021-03-24,Suriname,Cayman Islands,3,0,World Cup qualifier,Suriname,4,-4,1317,909,0,0,130,197
2021-03-24,Saint Kitts and Nevis,Puerto Rico,1,0,World Cup qualifier,the Dominican Republic,9,-9,1206,981,2,0,159,191
2021-03-24,Guatemala,Cuba,1,0,World Cup qualifier,Guatemala,5,-5,1494,1263,0,-2,83,143
2021-03-24,Dominican Republic,Dominica,1,0,World Cup qualifier,the Dominican Republic,8,-8,1182,1013,2,0,164,187
2021-03-24,Antigua and Barbuda,Montserrat,2,2,World Cup qualifier,Curaçao,-14,14,1143,874,-3,0,173,205
2021-03-25,United States,Jamaica,4,1,Friendly,Austria,10,-10,1757,1573,1,-1,34,64
2021-03-25,Saudi Arabia,Kuwait,1,0,Friendly,Saudi Arabia,4,-4,1559,1401,2,0,68,102
2021-03-25,Japan,South Korea,3,0,Friendly,Japan,14,-14,1758,1759,4,-4,33,32
2021-03-25,India,Oman,1,1,Friendly,the United Arab Emirates,7,-7,1200,1496,1,0,161,79
2021-03-25,Bahrain,Syria,3,1,Friendly,Bahrain,8,-8,1572,1479,1,-2,65,86
2021-03-25,Zambia,Algeria,3,3,African Nations Cup qualifier,Zambia,10,-10,1455,1737,1,-3,93,38
2021-03-25,South Africa,Ghana,1,1,African Nations Cup qualifier,South Africa,-1,1,1514,1604,0,0,76,58
2021-03-25,Libya,Tunisia,2,5,African Nations Cup qualifier,Libya,-24,24,1375,1639,-5,4,108,51
2021-03-25,Kenya,Egypt,1,1,African Nations Cup qualifier,Kenya,8,-8,1365,1593,1,-1,114,60
