date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2016-01-03,India,Afghanistan,2,1,South Asian Championship,India,19,-19,1087,1130,3,-1,180,174
2016-01-06,Estonia,Sweden,1,1,Friendly,the United Arab Emirates,7,-7,1499,1758,0,-2,87,29
2016-01-08,Bangladesh,Sri Lanka,4,2,Bangabandhu Gold Cup,Bangladesh,10,-10,907,772,1,0,201,211
2016-01-08,Haiti,Trinidad and Tobago,1,0,Copa America qualifier,Panama,28,-28,1503,1586,6,-7,87,61
2016-01-08,Panama,Cuba,4,0,Copa America qualifier,Panama,5,-5,1687,1334,0,-1,42,123
2016-01-10,Sweden,Finland,3,0,Friendly,the United Arab Emirates,10,-10,1768,1592,2,-2,27,60
2016-01-11,Maldives,Cambodia,3,2,Bangabandhu Gold Cup,Bangladesh,5,-5,1003,726,0,0,187,216
2016-01-13,Iceland,Finland,1,0,Friendly,the United Arab Emirates,8,-8,1681,1584,0,-1,43,61
2016-01-13,Nepal,Sri Lanka,1,0,Bangabandhu Gold Cup,Bangladesh,12,-12,863,760,0,-1,206,212
2016-01-15,Bangladesh,Nepal,0,0,Bangabandhu Gold Cup,Bangladesh,-6,6,901,869,0,1,201,205
2016-01-16,United Arab Emirates,Iceland,2,1,Friendly,the United Arab Emirates,9,-9,1636,1672,1,0,49,43
2016-01-19,Nepal,Maldives,4,1,Bangabandhu Gold Cup,Bangladesh,36,-36,905,967,4,-3,201,190
2016-01-27,Egypt,Jordan,0,1,Friendly,Egypt,-15,15,1594,1546,-3,4,58,71
2016-01-27,Nicaragua,Honduras,1,3,Friendly,Nicaragua,-9,9,1240,1519,-3,4,147,79
2016-01-29,Egypt,Libya,2,0,Friendly,Egypt,8,-8,1602,1497,1,-4,57,88
2016-01-31,United States,Iceland,3,2,Friendly,the United States,5,-5,1763,1667,0,-1,30,44
2016-02-02,Venezuela,Costa Rica,1,0,Friendly,Venezuela,13,-13,1613,1781,4,-2,54,23
2016-02-05,Bahrain,Lebanon,2,0,Friendly,Bahrain,10,-10,1424,1394,4,-1,103,110
2016-02-05,United States,Canada,1,0,Friendly,the United States,3,-3,1766,1525,2,-1,28,78
2016-02-06,Guadeloupe,Martinique,1,1,Friendly,Guadeloupe,1,-1,1319,1439,0,0,130,99
2016-02-10,Guatemala,Honduras,3,1,Friendly,Guatemala,13,-13,1468,1506,2,-4,95,83
2016-02-14,Uzbekistan,Lebanon,2,0,Friendly,the United Arab Emirates,6,-6,1656,1388,0,-1,46,111
2016-02-17,Panama,El Salvador,1,0,Friendly,Panama,3,-3,1690,1471,0,0,42,94
2016-02-21,Guyana,Suriname,2,0,Friendly,Guyana,9,-9,1232,1160,3,-1,151,170
2016-02-21,Saint Kitts and Nevis,Bermuda,3,0,Friendly,Saint Kitts and Nevis,13,-13,1244,1220,7,-5,146,155
2016-02-25,French Guiana,Suriname,2,3,Friendly,French Guiana,-16,16,1285,1176,-3,3,136,167
2016-03-02,Guatemala,El Salvador,1,0,Friendly,Guatemala,7,-7,1475,1464,1,-2,94,96
2016-03-09,Nicaragua,El Salvador,1,1,Friendly,Nicaragua,3,-3,1243,1461,1,0,147,96
2016-03-13,Sint Maarten,Anguilla,2,0,Friendly,Sint Maarten,2,-2,926,560,0,-1,199,236
2016-03-13,Saint Vincent and the Grenadines,Martinique,0,4,Friendly,Saint Vincent and the Grenadines,-10,10,1149,1449,-1,0,172,99
2016-03-15,Nicaragua,Panama,1,0,Friendly,Nicaragua,18,-18,1261,1672,5,0,142,42
2016-03-18,Syria,Iraq,1,0,Friendly,Iran,10,-10,1529,1502,2,-4,77,86
2016-03-18,United Arab Emirates,Bangladesh,6,1,Friendly,the United Arab Emirates,0,0,1636,901,0,0,49,202
2016-03-19,Grenada,Trinidad and Tobago,2,2,Friendly,Grenada,8,-8,1129,1578,1,-4,175,64
2016-03-19,Taiwan,Guam,3,2,Friendly,Taiwan,10,-10,796,872,0,0,210,205
2016-03-22,Cuba,Bermuda,2,1,CONCACAF Champ & Carib Champ q,Cuba,9,-9,1343,1211,1,-3,122,158
2016-03-22,Grenada,Sint Maarten,5,0,CONCACAF Champ & Carib Champ q,Grenada,12,-12,1141,914,1,0,174,199
2016-03-22,Guyana,Anguilla,7,0,CONCACAF Champ & Carib Champ q,Guyana,1,-1,1233,559,0,0,151,236
2016-03-22,Sierra Leone,Malawi,1,1,Friendly,Sierra Leone,-4,4,1330,1310,-2,0,125,132
2016-03-23,Antigua and Barbuda,Aruba,2,1,CONCACAF Champ & Carib Champ q,Antigua and Barbuda,3,-3,1246,929,1,0,147,198
2016-03-23,Barbados,Curaçao,1,0,CONCACAF Champ & Carib Champ q,Barbados,13,-13,1156,1108,2,-2,171,179
2016-03-23,Chad,Tanzania,0,1,African Nations Cup qualifier,Chad,-24,24,1253,1338,-6,8,144,123
2016-03-23,Croatia,Israel,2,0,Friendly,Croatia,4,-4,1817,1574,1,-2,16,66
2016-03-23,Gibraltar,Liechtenstein,0,0,Friendly,Gibraltar,0,0,1119,1202,1,-1,177,161
2016-03-23,Guadeloupe,Suriname,0,0,CONCACAF Champ & Carib Champ q,Guadeloupe,-12,12,1307,1188,-2,5,132,162
2016-03-23,Guinea-Bissau,Kenya,1,0,African Nations Cup qualifier,Guinea-Bissau,24,-24,1224,1353,7,-4,154,118
2016-03-23,Martinique,British Virgin Islands,3,0,CONCACAF Champ & Carib Champ q,Martinique,0,0,1449,623,0,0,99,229
2016-03-23,Poland,Serbia,1,0,Friendly,Poland,6,-6,1778,1709,0,0,24,38
2016-03-23,Romania,Lithuania,1,0,Friendly,Romania,1,-1,1765,1425,1,-1,29,102
2016-03-23,Sao Tome and Principe,Libya,2,1,African Nations Cup qualifier,Sao Tome and Principe,34,-34,1116,1463,4,-7,178,95
2016-03-23,Slovenia,Macedonia,1,0,Friendly,Slovenia,3,-3,1622,1435,0,0,53,100
2016-03-23,South Sudan,Benin,1,2,African Nations Cup qualifier,South Sudan,-14,14,1141,1386,-2,3,173,112
2016-03-23,Zambia,Congo,1,1,African Nations Cup qualifier,Zambia,-7,7,1498,1491,-4,1,87,88
2016-03-24,Australia,Tajikistan,7,0,World Cup and Asian Cup qualifier,Australia,3,-3,1706,1232,-1,-2,40,152
2016-03-24,Bahrain,Yemen,3,0,World Cup and Asian Cup qualifier,Bahrain,9,-9,1433,1174,2,-2,101,168
2016-03-24,Bolivia,Colombia,2,3,World Cup qualifier,Bolivia,-8,8,1615,1962,-3,2,55,5
2016-03-24,Chile,Argentina,1,2,World Cup qualifier,Chile,-23,23,1952,2046,-3,1,8,2
2016-03-24,China,Maldives,4,0,World Cup and Asian Cup qualifier,China,1,-1,1551,966,1,-1,69,191
2016-03-24,Comoros,Botswana,1,0,African Nations Cup qualifier,the Comoros,33,-33,974,1290,7,-2,190,132
2016-03-24,Czechia,Scotland,0,1,Friendly,Czechia,-14,14,1751,1712,-1,3,30,38
2016-03-24,Denmark,Iceland,2,1,Friendly,Denmark,6,-6,1733,1661,1,-1,34,45
2016-03-24,Djibouti,Liberia,0,1,African Nations Cup qualifier,Djibouti,-3,3,753,1328,0,1,214,127
2016-03-24,Ecuador,Paraguay,2,2,World Cup qualifier,Ecuador,-14,14,1900,1741,-1,2,13,33
2016-03-24,Estonia,Norway,0,0,Friendly,Estonia,1,-1,1500,1624,1,-1,85,52
2016-03-24,Ghana,Mozambique,3,1,African Nations Cup qualifier,Ghana,5,-5,1646,1323,1,-2,47,129
2016-03-24,Greece,Montenegro,2,1,Friendly,Greece,6,-6,1616,1560,1,0,54,68
2016-03-24,Iran,India,4,0,World Cup and Asian Cup qualifier,Iran,1,-1,1729,1086,-2,-1,36,182
2016-03-24,Iraq,Thailand,2,2,World Cup and Asian Cup qualifier,Iran,-5,5,1497,1415,-2,0,87,108
2016-03-24,Italy,Spain,1,1,Friendly,Italy,1,-1,1871,2000,0,0,15,4
2016-03-24,Japan,Afghanistan,5,0,World Cup and Asian Cup qualifier,Japan,1,-1,1751,1129,1,0,30,175
2016-03-24,Jordan,Bangladesh,8,0,World Cup and Asian Cup qualifier,Jordan,1,-1,1547,900,0,0,71,202
2016-03-24,Madagascar,Central African Republic,1,1,African Nations Cup qualifier,Madagascar,-7,7,1272,1255,-2,2,139,143
2016-03-24,Malta,Moldova,0,0,Friendly,Malta,1,-1,1233,1350,2,0,150,120
2016-03-24,Oman,Guam,1,0,World Cup and Asian Cup qualifier,Oman,1,-1,1477,871,0,0,92,205
2016-03-24,Peru,Venezuela,2,2,World Cup qualifier,Peru,-13,13,1774,1626,-2,3,24,51
2016-03-24,Qatar,Hong Kong,2,0,World Cup and Asian Cup qualifier,Qatar,4,-4,1573,1218,0,-2,67,157
2016-03-24,Saudi Arabia,Malaysia,2,0,World Cup and Asian Cup qualifier,Saudi Arabia,3,-3,1516,1120,0,0,81,176
2016-03-24,Singapore,Myanmar,2,1,Friendly,Singapore,4,-4,1190,1032,2,0,162,186
2016-03-24,Solomon Islands,Papua New Guinea,2,0,Friendly,the Solomon Islands,7,-7,1177,1043,2,0,167,185
2016-03-24,South Korea,Lebanon,1,0,World Cup and Asian Cup qualifier,South Korea,2,-2,1791,1386,0,0,21,111
2016-03-24,Syria,Cambodia,6,0,World Cup and Asian Cup qualifier,Oman,1,-1,1530,725,1,0,76,216
2016-03-24,Turkey,Sweden,2,1,Friendly,Turkey,6,-6,1810,1762,1,-2,18,29
2016-03-24,United Arab Emirates,Palestine,2,0,World Cup and Asian Cup qualifier,the United Arab Emirates,6,-6,1642,1351,1,-3,48,119
2016-03-24,Ukraine,Cyprus,1,0,Friendly,Ukraine,1,-1,1817,1422,1,0,16,105
2016-03-24,Uzbekistan,Philippines,1,0,World Cup and Asian Cup qualifier,Uzbekistan,2,-2,1658,1238,0,0,46,149
2016-03-24,Vietnam,Taiwan,4,1,World Cup and Asian Cup qualifier,Vietnam,3,-3,1219,793,2,0,156,210
2016-03-24,Wales,Northern Ireland,1,1,Friendly,Wales,-5,5,1667,1599,-1,0,43,59
2016-03-25,Algeria,Ethiopia,7,1,African Nations Cup qualifier,Algeria,5,-5,1668,1268,2,-1,42,139
2016-03-25,Armenia,Belarus,0,0,Friendly,Armenia,0,0,1484,1576,-1,0,90,65
