date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2009-01-01,Uganda,Rwanda,4,0,CECAFA Cup,Uganda,28,-28,1430,1386,9,-11,100,116
2009-01-01,Zanzibar,Somalia,2,0,CECAFA Cup,Uganda,7,-7,1282,912,2,0,135,197
2009-01-02,Burundi,Djibouti,4,0,CECAFA Cup,Uganda,5,-5,1247,779,2,0,141,209
2009-01-02,Kenya,Zambia,0,0,CECAFA Cup,Uganda,7,-7,1402,1514,2,-5,109,85
2009-01-03,Somalia,Tanzania,1,0,CECAFA Cup,Uganda,37,-37,949,1329,6,-3,191,123
2009-01-03,Uganda,Zanzibar,0,0,CECAFA Cup,Uganda,-12,12,1418,1294,-3,2,103,133
2009-01-04,Bahrain,Iraq,3,1,Gulf Cup,Oman,36,-36,1555,1559,14,-7,68,66
2009-01-04,Burundi,Zambia,1,1,CECAFA Cup,Uganda,13,-13,1260,1501,0,-5,141,90
2009-01-04,Djibouti,Sudan,1,1,CECAFA Cup,Uganda,19,-19,798,1368,1,-2,208,117
2009-01-04,Oman,Kuwait,0,0,Gulf Cup,Oman,-12,12,1553,1433,-4,2,69,99
2009-01-05,Qatar,Saudi Arabia,0,0,Gulf Cup,Oman,8,-8,1518,1640,1,0,84,50
2009-01-05,Rwanda,Somalia,3,0,CECAFA Cup,Uganda,5,-5,1391,944,2,0,113,191
2009-01-05,Tanzania,Zanzibar,2,1,CECAFA Cup,Uganda,18,-18,1347,1276,2,-4,121,137
2009-01-05,United Arab Emirates,Yemen,3,1,Gulf Cup,Oman,14,-14,1431,1202,3,-1,101,156
2009-01-06,Burundi,Sudan,1,0,CECAFA Cup,Uganda,26,-26,1286,1342,6,-4,135,121
2009-01-06,Kenya,Djibouti,5,1,CECAFA Cup,Uganda,2,-2,1404,796,0,0,109,208
2009-01-07,Kuwait,Bahrain,1,0,Gulf Cup,Oman,27,-27,1460,1528,7,-11,92,79
2009-01-07,Oman,Iraq,4,0,Gulf Cup,Oman,28,-28,1581,1531,10,-9,59,75
2009-01-07,Tanzania,Rwanda,2,0,CECAFA Cup,Uganda,34,-34,1381,1357,5,-6,115,119
2009-01-07,Uganda,Somalia,4,0,CECAFA Cup,Uganda,3,-3,1421,941,1,0,103,191
2009-01-08,Kenya,Burundi,1,0,CECAFA Cup,Uganda,13,-13,1417,1273,4,-3,105,138
2009-01-08,Qatar,United Arab Emirates,0,0,Gulf Cup,Oman,-5,5,1513,1436,-1,1,85,100
2009-01-08,Saudi Arabia,Yemen,6,0,Gulf Cup,Oman,6,-6,1646,1196,0,0,50,156
2009-01-08,Sudan,Zambia,2,0,CECAFA Cup,Uganda,43,-43,1385,1458,6,-2,115,92
2009-01-09,Iran,China,3,1,Friendly,Iran,4,-4,1777,1527,0,-4,24,79
2009-01-09,Rwanda,Zanzibar,3,0,CECAFA Cup,Uganda,27,-27,1384,1249,4,-4,116,141
2009-01-09,Uganda,Tanzania,2,1,CECAFA Cup,Uganda,12,-12,1433,1369,2,-1,101,117
2009-01-10,Iraq,Kuwait,1,1,Gulf Cup,Oman,-4,4,1527,1464,-2,0,77,91
2009-01-10,Oman,Bahrain,2,0,Gulf Cup,Oman,18,-18,1599,1510,0,-7,59,85
2009-01-11,Kenya,Tanzania,2,1,CECAFA Cup,Uganda,17,-17,1434,1352,4,-4,101,121
2009-01-11,Qatar,Yemen,2,1,Gulf Cup,Oman,6,-6,1519,1190,2,0,82,156
2009-01-11,Saudi Arabia,United Arab Emirates,3,0,Gulf Cup,Oman,16,-16,1662,1420,3,-4,47,104
2009-01-11,Uganda,Burundi,5,0,CECAFA Cup,Uganda,15,-15,1448,1258,5,-3,96,140
2009-01-13,Tanzania,Burundi,3,2,CECAFA Cup,Uganda,15,-15,1367,1243,1,-3,120,143
2009-01-13,Uganda,Kenya,1,0,CECAFA Cup,Uganda,14,-14,1462,1420,4,-2,92,103
2009-01-14,Hong Kong,India,2,1,Friendly,Hong Kong,8,-8,1223,1224,2,-1,153,150
2009-01-14,Iran,Singapore,6,0,Asian Cup qualifier,Iran,4,-4,1781,1364,1,-2,23,120
