date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2012-01-06,Equatorial Guinea,South Africa,0,0,Friendly,Equatorial Guinea,7,-7,1229,1591,1,-1,148,60
2012-01-07,Botswana,Zimbabwe,0,0,Friendly,Botswana,-4,4,1413,1367,0,0,103,118
2012-01-09,Gabon,Burkina Faso,0,0,Friendly,Gabon,-4,4,1551,1521,0,1,73,80
2012-01-09,Tunisia,Sudan,3,0,Friendly,the United Arab Emirates,10,-10,1587,1400,5,-3,62,108
2012-01-11,Nigeria,Angola,0,0,Friendly,Nigeria,-7,7,1656,1492,-1,1,47,91
2012-01-11,South Africa,Zambia,1,1,Friendly,South Africa,-5,5,1586,1527,-2,2,62,77
2012-01-12,Senegal,Sudan,1,0,Friendly,Senegal,3,-3,1622,1397,1,0,55,108
2012-01-13,Ivory Coast,Tunisia,2,0,Friendly,the United Arab Emirates,8,-8,1769,1579,4,-4,25,65
2012-01-14,Angola,Sierra Leone,3,1,Friendly,Angola,6,-6,1498,1332,2,0,89,124
2012-01-14,Namibia,Zambia,0,0,Friendly,South Africa,6,-6,1306,1521,1,-2,131,79
2012-01-15,Oman,DR Congo,2,2,Friendly,Oman,-5,5,1512,1428,0,0,82,102
2012-01-15,Sao Tome and Principe,Lesotho,1,0,African Nations Cup qualifier,Sao Tome and Principe,22,-22,1065,1155,1,-4,180,165
2012-01-15,South Africa,Ghana,1,1,Friendly,South Africa,2,-2,1588,1771,0,0,61,24
2012-01-16,Gabon,Sudan,0,0,Friendly,Gabon,-6,6,1545,1403,0,1,73,107
2012-01-16,Ivory Coast,Libya,1,0,Friendly,the United Arab Emirates,3,-3,1772,1492,1,0,24,91
2012-01-17,Kuwait,Uzbekistan,1,0,Friendly,Kuwait,8,-8,1589,1612,4,0,60,56
2012-01-18,Sweden,Bahrain,2,0,Friendly,Qatar,5,-5,1866,1568,1,0,12,69
2012-01-18,Thailand,Norway,0,1,King's Cup,Thailand,-5,5,1383,1759,-1,0,112,30
2012-01-21,Equatorial Guinea,Libya,1,0,African Nations Cup,Equatorial Guinea,36,-36,1265,1456,8,-7,140,98
2012-01-21,United States,Venezuela,1,0,Friendly,the United States,7,-7,1722,1705,2,-1,34,38
2012-01-21,Zambia,Senegal,2,1,African Nations Cup,Equatorial Guinea,32,-32,1553,1590,6,-4,73,59
2012-01-22,Angola,Burkina Faso,2,1,African Nations Cup,Equatorial Guinea,27,-27,1525,1494,10,-10,79,90
2012-01-22,Ivory Coast,Sudan,1,0,African Nations Cup,Equatorial Guinea,5,-5,1777,1398,0,-1,24,108
2012-01-22,Lebanon,Iraq,1,0,Friendly,Lebanon,14,-14,1334,1572,4,-5,124,68
2012-01-22,Lesotho,Sao Tome and Principe,0,0,African Nations Cup qualifier,Lesotho,-10,10,1145,1075,-2,1,167,179
2012-01-22,Trinidad and Tobago,Finland,2,3,Friendly,Trinidad and Tobago,-9,9,1474,1611,-2,1,94,56
