date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2006-01-02,Qatar,Libya,2,0,Friendly,Qatar,10,-10,1520,1471,2,-2,77,91
2006-01-05,Egypt,Zimbabwe,2,0,Friendly,Egypt,4,-4,1717,1498,2,-3,37,84
2006-01-07,Guinea,Togo,1,0,Friendly,France,12,-12,1514,1572,2,-3,79,65
2006-01-09,Morocco,DR Congo,3,0,Friendly,Morocco,5,-5,1686,1448,1,0,45,96
2006-01-11,Togo,Ghana,1,0,Friendly,Tunisia,11,-11,1583,1591,3,-3,62,60
2006-01-12,Tunisia,Libya,1,0,Friendly,Tunisia,2,-2,1714,1469,0,0,40,91
2006-01-14,Egypt,South Africa,1,2,Friendly,Egypt,-17,17,1700,1534,-4,4,41,74
2006-01-14,Morocco,Zimbabwe,1,0,Friendly,Morocco,3,-3,1689,1495,1,-1,44,85
2006-01-14,Senegal,DR Congo,0,0,Friendly,Senegal,-8,8,1693,1456,-2,0,43,96
2006-01-15,Tunisia,Ghana,2,0,Friendly,Tunisia,7,-7,1721,1584,2,-1,37,61
2006-01-17,Ivory Coast,Jordan,2,0,Friendly,the United Arab Emirates,9,-9,1710,1535,0,-2,40,73
2006-01-17,Morocco,Angola,2,2,Friendly,Morocco,-6,6,1683,1552,-1,0,45,70
2006-01-18,Saudi Arabia,Sweden,1,1,Friendly,Saudi Arabia,6,-6,1574,1897,0,0,66,10
2006-01-18,United Arab Emirates,South Korea,1,0,Friendly,the United Arab Emirates,13,-13,1474,1674,4,-4,90,48
2006-01-20,Egypt,Libya,3,0,African Nations Cup,Egypt,11,-11,1711,1458,1,-3,40,95
2006-01-21,Cameroon,Angola,3,1,African Nations Cup,Egypt,19,-19,1761,1533,2,-3,31,73
2006-01-21,DR Congo,Togo,2,0,African Nations Cup,Egypt,51,-51,1507,1532,15,-12,81,74
2006-01-21,Greece,South Korea,1,1,LG Cup,Saudi Arabia,-6,6,1805,1680,0,1,23,47
2006-01-21,Ivory Coast,Morocco,1,0,African Nations Cup,Egypt,23,-23,1733,1660,7,-6,34,50
2006-01-21,Saudi Arabia,Finland,1,1,LG Cup,Saudi Arabia,-1,1,1573,1660,1,1,65,50
2006-01-22,Guinea,South Africa,2,0,African Nations Cup,Egypt,40,-40,1554,1494,10,-14,69,86
2006-01-22,Tunisia,Zambia,4,1,African Nations Cup,Egypt,21,-21,1742,1505,4,-5,34,81
2006-01-22,United States,Canada,0,0,Friendly,the United States,-8,8,1833,1573,-1,1,18,65
2006-01-23,Jordan,Sweden,0,0,Friendly,the United Arab Emirates,8,-8,1543,1889,1,-1,71,11
2006-01-23,Nigeria,Ghana,1,0,African Nations Cup,Egypt,14,-14,1765,1570,4,-5,29,66
2006-01-23,Senegal,Zimbabwe,2,0,African Nations Cup,Egypt,18,-18,1711,1477,2,-4,41,89
2006-01-24,Egypt,Morocco,0,0,African Nations Cup,Egypt,-10,10,1701,1670,-1,2,42,48
2006-01-24,Ivory Coast,Libya,2,1,African Nations Cup,Egypt,9,-9,1742,1449,1,0,34,96
2006-01-25,Angola,DR Congo,0,0,African Nations Cup,Egypt,-2,2,1531,1509,-1,0,74,79
2006-01-25,Cameroon,Togo,2,0,African Nations Cup,Egypt,16,-16,1777,1516,5,-3,27,77
2006-01-25,Ecuador,Honduras,1,0,Friendly,Ecuador,7,-7,1722,1718,2,-2,38,39
2006-01-25,Mexico,Norway,2,1,Friendly,the United States,8,-8,1843,1759,0,-4,17,32
2006-01-25,Saudi Arabia,Greece,1,1,LG Cup,Saudi Arabia,5,-5,1578,1800,2,0,62,23
2006-01-25,South Korea,Finland,1,0,LG Cup,Saudi Arabia,14,-14,1694,1646,3,0,44,51
2006-01-26,Guinea,Zambia,2,1,African Nations Cup,Egypt,21,-21,1575,1484,4,-4,65,85
2006-01-26,Tunisia,South Africa,2,0,African Nations Cup,Egypt,15,-15,1757,1479,1,-3,33,88
2006-01-27,Ghana,Senegal,1,0,African Nations Cup,Egypt,35,-35,1605,1676,11,-6,56,47
2006-01-27,Nigeria,Zimbabwe,2,0,African Nations Cup,Egypt,12,-12,1777,1465,2,-3,27,92
2006-01-27,Northern Cyprus,Kyrgyzstan,3,2,Friendly,Northern Cyprus,2,-2,1463,1193,2,0,93,159
2006-01-27,Saudi Arabia,Lebanon,1,2,Friendly,Saudi Arabia,-17,17,1561,1367,-6,4,68,110
2006-01-28,Egypt,Ivory Coast,3,1,African Nations Cup,Egypt,31,-31,1732,1711,5,-6,36,41
2006-01-28,Libya,Morocco,0,0,African Nations Cup,Egypt,14,-14,1463,1656,3,-2,93,50
2006-01-29,Angola,Togo,3,2,African Nations Cup,Egypt,24,-24,1555,1492,4,-6,70,83
2006-01-29,Cameroon,DR Congo,2,0,African Nations Cup,Egypt,13,-13,1790,1496,2,-3,25,82
2006-01-29,South Korea,Croatia,2,0,Carlsberg Cup,Hong Kong,33,-33,1727,1831,6,-5,37,18
2006-01-29,United States,Norway,5,0,Friendly,the United States,11,-11,1844,1748,3,-2,15,34
2006-01-30,Bahrain,Syria,1,1,Friendly,Bahrain,-4,4,1533,1505,0,-1,73,80
2006-01-30,Guinea,Tunisia,3,0,African Nations Cup,Egypt,65,-65,1640,1692,11,-11,54,43
2006-01-30,Zambia,South Africa,1,0,African Nations Cup,Egypt,25,-25,1509,1454,7,-8,78,96
2006-01-31,Nigeria,Senegal,2,1,African Nations Cup,Egypt,18,-18,1795,1658,4,-2,24,49
2006-01-31,Zimbabwe,Ghana,2,1,African Nations Cup,Egypt,35,-35,1500,1570,9,-9,82,66
2006-02-01,Hong Kong,Croatia,0,4,Carlsberg Cup,Hong Kong,-3,3,1231,1834,-1,0,146,18
2006-02-01,Thailand,Jordan,0,0,Friendly,Thailand,3,-3,1321,1540,0,0,122,72
2006-02-03,Egypt,DR Congo,4,1,African Nations Cup,Egypt,11,-11,1743,1485,1,-2,34,86
2006-02-03,Kuwait,Singapore,2,2,Friendly,Kuwait,-5,5,1423,1334,-1,0,100,119
2006-02-03,Senegal,Guinea,3,2,African Nations Cup,Egypt,24,-24,1682,1616,5,-1,44,55
2006-02-04,Cameroon,Ivory Coast,1,1,African Nations Cup,Egypt,-6,6,1784,1717,0,1,26,40
2006-02-04,Nigeria,Tunisia,1,1,African Nations Cup,Egypt,-7,7,1788,1699,-1,1,25,42
2006-02-04,United States,South Korea,1,2,Friendly,the United States,-16,16,1828,1743,-3,2,18,34
2006-02-06,Oman,Singapore,1,0,Friendly,Qatar,4,-4,1568,1330,0,0,67,119
2006-02-07,Egypt,Senegal,2,1,African Nations Cup,Egypt,14,-14,1757,1668,2,-3,32,47
2006-02-07,Ivory Coast,Nigeria,1,0,African Nations Cup,Egypt,30,-30,1747,1758,5,-6,35,31
2006-02-07,Kuwait,Jordan,2,1,Friendly,Kuwait,10,-10,1433,1530,2,-2,98,74
2006-02-07,Syria,Palestine,3,0,Friendly,Syria,4,-4,1509,1246,2,0,78,140
2006-02-09,Nigeria,Senegal,1,0,African Nations Cup,Egypt,19,-19,1777,1649,3,-3,28,50
2006-02-10,Egypt,Ivory Coast,0,0,African Nations Cup,Egypt,-8,8,1749,1755,-2,2,34,33
2006-02-10,United States,Japan,3,2,Friendly,the United States,7,-7,1835,1805,1,0,17,22
2006-02-11,Costa Rica,South Korea,1,0,Friendly,the United States,10,-10,1743,1733,1,-1,36,37
2006-02-12,China,Honduras,0,1,Friendly,China,-11,11,1633,1729,0,2,53,38
2006-02-13,Oman,Iraq,1,0,Friendly,Oman,8,-8,1576,1600,2,-1,65,57
2006-02-14,Jordan,Kazakhstan,2,0,Friendly,Jordan,4,-4,1534,1313,2,-4,72,127
2006-02-14,Qatar,Tajikistan,2,0,Friendly,Qatar,5,-5,1525,1346,1,-1,75,115
2006-02-14,Saudi Arabia,Syria,1,1,Friendly,Saudi Arabia,-4,4,1557,1513,-1,0,69,78
2006-02-15,Hong Kong,Singapore,1,1,Friendly,Hong Kong,0,0,1231,1330,0,0,146,119
2006-02-15,South Korea,Mexico,1,0,Friendly,the United States,13,-13,1746,1830,1,-2,36,18
2006-02-16,Bahrain,Palestine,0,2,Friendly,Bahrain,-27,27,1506,1273,-7,4,80,136
2006-02-16,Thailand,Iraq,4,3,Friendly,Thailand,15,-15,1336,1585,3,-4,119,61
2006-02-18,Hong Kong,India,2,2,Friendly,Hong Kong,-4,4,1227,1186,-1,1,147,160
2006-02-18,Japan,Finland,2,0,Friendly,Japan,6,-6,1811,1640,0,-1,22,52
2006-02-18,Palestine,Pakistan,3,0,Friendly,Bahrain,3,-3,1276,884,0,0,136,198
2006-02-19,New Zealand,Malaysia,1,0,Friendly,New Zealand,2,-2,1516,1194,0,-2,76,158
2006-02-19,United States,Guatemala,4,0,Friendly,the United States,4,-4,1839,1578,0,0,16,62
2006-02-22,Bahrain,Australia,1,3,Asian Cup qualifier,Bahrain,-17,17,1489,1782,-5,4,85,26
2006-02-22,China,Palestine,2,0,Asian Cup qualifier,China,4,-4,1637,1272,0,-1,53,137
2006-02-22,Hong Kong,Qatar,0,3,Asian Cup qualifier,Hong Kong,-17,17,1210,1542,-6,3,153,71
2006-02-22,Iran,Taiwan,4,0,Asian Cup qualifier,Iran,0,0,1828,974,0,0,19,191
2006-02-22,Japan,India,6,0,Asian Cup qualifier,Japan,1,-1,1812,1185,0,1,22,159
2006-02-22,Jordan,Pakistan,3,0,Asian Cup qualifier,Jordan,1,-1,1535,883,-1,0,73,198
2006-02-22,Lebanon,Kuwait,1,1,Asian Cup qualifier,Lebanon,-2,2,1365,1435,-1,0,111,98
2006-02-22,Singapore,Iraq,2,0,Asian Cup qualifier,Singapore,43,-43,1373,1542,12,-10,108,71
2006-02-22,Syria,South Korea,1,2,Asian Cup qualifier,Syria,-13,13,1500,1759,-3,4,80,32
2006-02-22,United Arab Emirates,Oman,1,0,Asian Cup qualifier,the United Arab Emirates,20,-20,1494,1556,7,-3,83,68
2006-02-22,Uzbekistan,Bangladesh,5,0,Asian Cup qualifier,Uzbekistan,2,-2,1580,1051,1,-1,61,181
2006-02-22,Yemen,Saudi Arabia,0,4,Asian Cup qualifier,Yemen,-14,14,1182,1571,-5,4,161,65
2006-02-23,New Zealand,Malaysia,2,1,Friendly,New Zealand,2,-2,1518,1192,0,-1,76,158
2006-02-24,Guyana,Antigua and Barbuda,2,1,Friendly,Guyana,7,-7,1114,1104,2,-1,169,171
2006-02-24,Kazakhstan,North Korea,0,0,Friendly,Cyprus,5,-5,1318,1481,4,-3,123,89
2006-02-25,Saint Kitts and Nevis,Saint Martin,6,1,Friendly,Saint Kitts and Nevis,5,-5,1251,1011,0,-2,141,188
2006-02-26,Benin,Equatorial Guinea,0,1,Friendly,Benin,-17,17,1269,1104,-3,6,138,171
2006-02-26,Guyana,Antigua and Barbuda,4,1,Friendly,Guyana,12,-12,1126,1092,1,-5,168,176
2006-02-28,Algeria,Burkina Faso,0,0,Friendly,France,0,0,1407,1407,0,0,102,102
2006-02-28,Azerbaijan,Ukraine,0,0,Friendly,Azerbaijan,7,-7,1356,1768,1,0,114,30
2006-02-28,Bosnia and Herzegovina,Japan,2,2,Friendly,Germany,5,-5,1635,1807,1,0,53,22
2006-02-28,Cyprus,Slovenia,0,1,Friendly tournament,Cyprus,-14,14,1449,1611,-4,1,96,56
2006-02-28,Finland,Kazakhstan,0,0,Friendly tournament,Cyprus,-11,11,1629,1329,-2,2,54,121
2006-02-28,Greece,Belarus,1,0,Friendly tournament,Cyprus,7,-7,1807,1581,1,-1,22,61
2006-02-28,Romania,Armenia,2,0,Friendly tournament,Cyprus,3,-3,1851,1409,0,0,13,101
2006-02-28,Trinidad and Tobago,Iceland,2,0,Friendly,England,12,-12,1589,1495,3,-4,60,82
2006-03-01,Albania,Lithuania,1,2,Friendly,Albania,-15,15,1517,1478,-1,3,75,89
2006-03-01,Austria,Canada,0,2,Friendly,Austria,-23,23,1645,1596,-4,6,51,58
2006-03-01,Bangladesh,Hong Kong,0,1,Asian Cup qualifier,Bangladesh,-17,17,1034,1227,-2,6,183,147
2006-03-01,Belarus,Finland,2,2,Friendly tournament,Cyprus,2,-2,1583,1627,-1,1,62,53
2006-03-01,Croatia,Argentina,3,2,Friendly,Switzerland,13,-13,1847,1917,2,0,15,8
2006-03-01,Cyprus,Armenia,2,0,Friendly tournament,Cyprus,14,-14,1463,1395,3,-2,93,103
2006-03-01,England,Uruguay,2,1,Friendly,England,4,-4,1967,1817,2,0,3,21
2006-03-01,France,Slovakia,1,2,Friendly,France,-18,18,1955,1700,-3,2,6,42
2006-03-01,Greece,Kazakhstan,2,0,Friendly tournament,Cyprus,3,-3,1810,1326,0,-1,22,122
2006-03-01,India,Yemen,0,3,Asian Cup qualifier,India,-45,45,1140,1227,-6,14,165,147
2006-03-01,Iran,Costa Rica,3,2,Friendly,Iran,5,-5,1833,1738,-1,1,20,36
2006-03-01,Iraq,China,2,1,Asian Cup qualifier,the United Arab Emirates,25,-25,1567,1612,6,-3,65,55
2006-03-01,Ireland,Sweden,3,0,Friendly,Ireland,16,-16,1839,1873,3,-1,17,12
2006-03-01,Israel,Denmark,0,2,Friendly,Israel,-12,12,1712,1900,-2,2,41,10
2006-03-01,Italy,Germany,4,1,Friendly,Italy,10,-10,1949,1881,0,-1,7,11
2006-03-01,Kuwait,Bahrain,0,0,Asian Cup qualifier,Kuwait,-3,3,1432,1492,0,1,98,84
2006-03-01,Luxembourg,Belgium,0,2,Friendly,Luxembourg,-1,1,980,1699,0,0,190,43
2006-03-01,Macedonia,Bulgaria,0,1,Friendly,Macedonia,-6,6,1476,1723,-2,2,90,39
2006-03-01,Malta,Georgia,0,2,Friendly tournament,Malta,-14,14,1252,1512,-1,5,140,76
2006-03-01,Mexico,Ghana,1,0,Friendly,the United States,4,-4,1834,1566,-1,-1,19,67
2006-03-01,Netherlands,Ecuador,1,0,Friendly,the Netherlands,2,-2,1994,1720,0,0,2,40
2006-03-01,Northern Ireland,Estonia,1,0,Friendly,Northern Ireland,5,-5,1506,1420,-1,0,79,100
2006-03-01,Oman,Jordan,3,0,Asian Cup qualifier,Oman,23,-23,1579,1512,5,-3,63,76
2006-03-01,Pakistan,United Arab Emirates,1,4,Asian Cup qualifier,Pakistan,-4,4,879,1498,-2,1,200,82
2006-03-01,Palestine,Singapore,1,0,Asian Cup qualifier,Jordan,26,-26,1298,1347,4,-7,132,115
2006-03-01,Portugal,Saudi Arabia,3,0,Friendly,Germany,4,-4,1914,1567,0,0,9,65
2006-03-01,Qatar,Uzbekistan,2,1,Asian Cup qualifier,Qatar,16,-16,1558,1564,1,-6,70,68
2006-03-01,Romania,Slovenia,2,0,Friendly tournament,Cyprus,9,-9,1860,1602,0,-1,13,57
2006-03-01,Russia,Brazil,0,1,Friendly,Russia,-5,5,1752,2032,0,0,33,1
2006-03-01,Scotland,Switzerland,1,3,Friendly,Scotland,-15,15,1666,1795,-1,2,46,25
2006-03-01,Senegal,Norway,2,1,Friendly,Senegal,10,-10,1659,1738,2,0,48,36
2006-03-01,South Korea,Angola,1,0,Friendly,South Korea,3,-3,1762,1552,1,-2,31,71
2006-03-01,Spain,Ivory Coast,3,2,Friendly,Spain,3,-3,1960,1752,1,1,5,33
2006-03-01,Taiwan,Syria,0,4,Asian Cup qualifier,Taiwan,-6,6,968,1506,0,0,191,79
