date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2013-01-05,Angola,Zambia,2,0,Friendly,South Africa,19,-19,1503,1568,6,-5,86,67
2013-01-05,Bahrain,Oman,0,0,Gulf Cup,Bahrain,-4,4,1493,1527,-3,0,89,80
2013-01-05,Niger,Togo,3,1,Friendly,Niger,14,-14,1353,1404,1,-2,124,108
2013-01-05,United Arab Emirates,Qatar,3,1,Gulf Cup,Bahrain,30,-30,1508,1446,10,-3,83,97
2013-01-06,Iraq,Saudi Arabia,2,0,Gulf Cup,Bahrain,22,-22,1613,1471,6,-4,55,93
2013-01-06,Kuwait,Yemen,2,0,Gulf Cup,Bahrain,13,-13,1505,1251,5,0,86,143
2013-01-07,Ethiopia,Tunisia,1,1,Friendly,Qatar,7,-7,1325,1593,0,-2,130,61
2013-01-08,Bahrain,United Arab Emirates,1,2,Gulf Cup,Bahrain,-25,25,1468,1533,-4,5,94,78
2013-01-08,Morocco,Zambia,0,0,Friendly,South Africa,1,-1,1544,1567,0,0,74,67
2013-01-08,Qatar,Oman,2,1,Gulf Cup,Bahrain,25,-25,1471,1502,5,-7,92,87
2013-01-08,South Africa,Norway,0,1,Friendly,South Africa,-7,7,1558,1765,-3,1,71,27
2013-01-09,Cape Verde,Nigeria,0,0,Friendly,Portugal,6,-6,1430,1644,0,0,103,50
2013-01-09,Iraq,Kuwait,1,0,Gulf Cup,Bahrain,14,-14,1627,1491,2,-4,53,89
2013-01-09,Saudi Arabia,Yemen,2,0,Gulf Cup,Bahrain,13,-13,1484,1238,0,-5,92,148
2013-01-10,Burkina Faso,Niger,0,0,Friendly,South Africa,-3,3,1442,1356,-1,1,99,123
2013-01-10,Gabon,Tunisia,1,1,Friendly,the United Arab Emirates,2,-2,1542,1591,2,0,74,61
2013-01-10,Ghana,Egypt,3,0,Friendly,the United Arab Emirates,17,-17,1693,1643,4,-5,38,50
2013-01-10,Panama,Guatemala,3,0,Friendly,Panama,7,-7,1687,1540,0,-3,40,76
2013-01-11,Bahrain,Qatar,1,0,Gulf Cup,Bahrain,15,-15,1483,1456,2,-3,92,96
2013-01-11,Ethiopia,Tanzania,2,1,Friendly,Ethiopia,8,-8,1333,1353,3,-3,127,124
2013-01-11,United Arab Emirates,Oman,2,0,Gulf Cup,Bahrain,27,-27,1560,1475,7,-7,71,93
2013-01-12,Iraq,Yemen,2,0,Gulf Cup,Bahrain,6,-6,1633,1232,2,-2,51,150
2013-01-12,Kuwait,Saudi Arabia,1,0,Gulf Cup,Bahrain,20,-20,1511,1464,6,-3,82,94
2013-01-12,Morocco,Namibia,2,1,Friendly,South Africa,4,-4,1548,1309,0,-2,74,133
2013-01-12,South Africa,Algeria,0,0,Friendly,South Africa,-3,3,1555,1564,-1,1,73,68
2013-01-12,Zambia,Norway,0,0,Friendly,Zambia,3,-3,1570,1762,0,0,67,27
2013-01-13,Angola,Botswana,2,0,Friendly,South Africa,7,-7,1510,1292,3,-1,83,139
2013-01-13,Ghana,Tunisia,4,2,Friendly,the United Arab Emirates,11,-11,1704,1580,2,-2,36,63
2013-01-13,Panama,Guatemala,2,0,Friendly,Panama,6,-6,1693,1534,1,-1,39,78
2013-01-13,Togo,Niger,2,1,Friendly,Togo,6,-6,1410,1350,1,-2,107,124
2013-01-14,Ivory Coast,Egypt,4,2,Friendly,the United Arab Emirates,7,-7,1842,1636,0,0,17,50
2013-01-15,Bahrain,Iraq,1,1,Gulf Cup,Bahrain,3,-3,1486,1630,1,0,90,51
2013-01-15,Lebanon,Gabon,0,0,Friendly,Lebanon,3,-3,1330,1539,0,-1,130,76
2013-01-15,United Arab Emirates,Kuwait,1,0,Gulf Cup,Bahrain,17,-17,1577,1494,5,-5,66,87
2013-01-17,Burkina Faso,Swaziland,3,0,Friendly,South Africa,4,-4,1446,1102,1,0,98,178
2013-01-18,Bahrain,Kuwait,1,6,Gulf Cup,Bahrain,-50,50,1436,1544,-9,12,99,75
2013-01-18,Costa Rica,Belize,1,0,CONCACAF Champ q & C Am Cup,Costa Rica,1,-1,1668,1133,0,-1,44,173
2013-01-18,El Salvador,Honduras,1,1,CONCACAF Champ q & C Am Cup,Costa Rica,8,-8,1543,1672,1,-1,76,43
2013-01-18,Guatemala,Nicaragua,1,1,CONCACAF Champ q & C Am Cup,Costa Rica,-17,17,1517,1140,-4,3,82,172
2013-01-18,United Arab Emirates,Iraq,2,1,Gulf Cup,Bahrain,23,-23,1600,1607,7,-4,59,55
2013-01-19,Angola,Morocco,0,0,African Nations Cup,South Africa,3,-3,1513,1545,0,1,83,73
2013-01-19,Chile,Haiti,3,0,Friendly,Chile,3,-3,1804,1457,0,0,21,94
2013-01-19,South Africa,Cape Verde,0,0,African Nations Cup,South Africa,-14,14,1541,1444,-3,5,76,98
2013-01-20,Belize,Guatemala,0,0,CONCACAF Champ q & C Am Cup,Costa Rica,16,-16,1149,1501,6,-4,167,86
2013-01-20,Costa Rica,Nicaragua,2,0,CONCACAF Champ q & C Am Cup,Costa Rica,2,-2,1670,1138,0,-1,44,173
2013-01-20,DR Congo,Ghana,2,2,African Nations Cup,South Africa,16,-16,1450,1688,5,-3,97,39
2013-01-20,El Salvador,Panama,0,0,CONCACAF Champ q & C Am Cup,Costa Rica,8,-8,1551,1685,2,-1,73,40
2013-01-20,Mali,Niger,1,0,African Nations Cup,South Africa,10,-10,1611,1340,2,-1,55,125
2013-01-21,Burkina Faso,Nigeria,1,1,African Nations Cup,South Africa,13,-13,1459,1631,4,-1,94,50
2013-01-21,Ethiopia,Zambia,1,1,African Nations Cup,South Africa,15,-15,1348,1555,2,-4,125,72
2013-01-22,Belize,Nicaragua,2,1,CONCACAF Champ q & C Am Cup,Costa Rica,19,-19,1168,1119,3,-3,164,176
2013-01-22,Costa Rica,Guatemala,1,1,CONCACAF Champ q & C Am Cup,Costa Rica,-13,13,1657,1514,-1,4,45,82
2013-01-22,Honduras,Panama,1,1,CONCACAF Champ q & C Am Cup,Costa Rica,1,-1,1673,1684,0,0,43,40
2013-01-22,Ivory Coast,Togo,2,1,African Nations Cup,South Africa,4,-4,1846,1406,0,-1,17,108
2013-01-22,Tunisia,Algeria,1,0,African Nations Cup,South Africa,24,-24,1604,1540,7,-9,57,77
2013-01-23,Cape Verde,Morocco,1,1,African Nations Cup,South Africa,7,-7,1451,1538,1,-5,98,78
2013-01-23,North Korea,Sweden,1,1,King's Cup,Thailand,11,-11,1589,1896,2,-2,63,11
2013-01-23,South Africa,Angola,2,0,African Nations Cup,South Africa,24,-24,1565,1489,7,-5,68,88
2013-01-23,Thailand,Finland,1,3,King's Cup,Thailand,-14,14,1371,1644,-5,2,116,49
2013-01-24,DR Congo,Niger,0,0,African Nations Cup,South Africa,-8,8,1442,1348,-1,1,100,125
2013-01-24,Ghana,Mali,1,0,African Nations Cup,South Africa,20,-20,1708,1591,4,-7,35,62
2013-01-25,Burkina Faso,Ethiopia,4,0,African Nations Cup,South Africa,32,-32,1491,1316,6,-5,88,130
2013-01-25,Costa Rica,El Salvador,1,0,Central American Cup,Costa Rica,9,-9,1666,1542,1,-1,44,74
2013-01-25,Honduras,Belize,1,0,Central American Cup,Costa Rica,2,-2,1675,1166,0,-1,43,165
2013-01-25,Nigeria,Zambia,1,1,African Nations Cup,South Africa,-5,5,1626,1560,-2,1,53,71
2013-01-25,Panama,Guatemala,3,1,CONCACAF Champ q & C Am Cup,Costa Rica,16,-16,1700,1498,1,-4,39,86
2013-01-26,Ivory Coast,Tunisia,3,0,African Nations Cup,South Africa,17,-17,1863,1587,2,-6,15,62
2013-01-26,Sweden,Finland,3,0,King's Cup,Thailand,10,-10,1906,1634,2,-1,9,50
2013-01-26,Thailand,North Korea,2,2,King's Cup,Thailand,5,-5,1376,1584,0,0,116,63
2013-01-26,Togo,Algeria,2,0,African Nations Cup,South Africa,51,-51,1457,1489,13,-12,95,88
2013-01-27,Cape Verde,Angola,2,1,African Nations Cup,South Africa,28,-28,1479,1461,8,-7,91,95
2013-01-27,Costa Rica,Honduras,1,0,Central American Cup,Costa Rica,15,-15,1681,1660,2,-1,42,44
2013-01-27,El Salvador,Belize,1,0,Central American Cup,Costa Rica,4,-4,1546,1162,0,0,74,165
2013-01-27,South Africa,Morocco,2,2,African Nations Cup,South Africa,-9,9,1556,1547,-4,4,72,73
2013-01-28,DR Congo,Mali,1,1,African Nations Cup,South Africa,10,-10,1452,1581,1,-4,100,65
2013-01-28,Ghana,Niger,3,0,African Nations Cup,South Africa,10,-10,1718,1338,2,-1,33,126
2013-01-29,Burkina Faso,Zambia,0,0,African Nations Cup,South Africa,5,-5,1496,1555,1,-2,86,72
2013-01-29,Nigeria,Ethiopia,2,0,African Nations Cup,South Africa,11,-11,1637,1305,4,-5,49,135
2013-01-29,United States,Canada,0,0,Friendly,the United States,-7,7,1763,1591,0,1,26,61
2013-01-30,Algeria,Ivory Coast,2,2,African Nations Cup,South Africa,20,-20,1509,1843,6,-2,82,17
2013-01-30,Oman,China,1,0,Friendly,Oman,12,-12,1487,1616,2,-2,90,54
2013-01-30,Togo,Tunisia,1,1,African Nations Cup,South Africa,9,-9,1466,1578,2,-3,94,65
