date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2007-01-06,Martinique,Guadeloupe,3,0,Friendly,Martinique,13,-13,1389,1381,3,-4,105,108
2007-01-07,Haiti,Bermuda,2,0,CONCACAF Champ & Carib Cup qual,Trinidad and Tobago,12,-12,1450,1188,1,0,96,158
2007-01-07,Singapore,Philippines,4,1,Friendly,Singapore,1,-1,1290,767,0,0,133,211
2007-01-07,Yemen,Eritrea,4,1,Friendly,Yemen,9,-9,1233,1119,4,-1,146,170
2007-01-08,Saudi Arabia,Gambia,3,0,Friendly,Saudi Arabia,4,-4,1583,1342,0,-1,61,120
2007-01-09,Haiti,Bermuda,3,0,CONCACAF Champ & Carib Cup qual,Trinidad and Tobago,13,-13,1463,1175,2,-9,94,167
2007-01-11,Costa Rica,Nicaragua,2,0,Friendly,Costa Rica,1,-1,1634,1029,0,0,51,184
2007-01-11,Saudi Arabia,Syria,2,1,Friendly,Saudi Arabia,5,-5,1588,1472,1,-1,60,91
2007-01-12,Bahrain,Yemen,4,0,Friendly,the United Arab Emirates,7,-7,1490,1226,2,-4,86,150
2007-01-12,Haiti,Martinique,1,0,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,16,-16,1479,1373,4,-5,90,110
2007-01-12,Malaysia,Philippines,4,0,Southeast Asian Championship,Thailand,6,-6,1187,761,6,0,158,211
2007-01-12,Thailand,Myanmar,1,1,Southeast Asian Championship,Thailand,-14,14,1342,1177,-3,1,119,167
2007-01-12,Trinidad and Tobago,Barbados,1,1,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,-15,15,1536,1336,-3,3,76,121
2007-01-12,United Arab Emirates,Iran,0,2,Friendly,the United Arab Emirates,-7,7,1482,1790,-2,2,88,21
2007-01-13,Indonesia,Laos,3,1,Southeast Asian Championship,Singapore,7,-7,1290,913,1,0,133,197
2007-01-13,Qatar,Oman,1,1,Friendly,Qatar,-2,2,1545,1566,0,1,73,66
2007-01-13,Singapore,Vietnam,0,0,Southeast Asian Championship,Singapore,-9,9,1281,1233,-1,5,134,146
2007-01-14,Armenia,Panama,1,1,Friendly,the United States,3,-3,1389,1499,0,0,106,84
2007-01-14,Guadeloupe,Cuba,2,1,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,30,-30,1411,1547,5,-10,102,72
2007-01-14,Malaysia,Myanmar,0,0,Southeast Asian Championship,Thailand,-1,1,1186,1178,0,0,158,167
2007-01-14,Saint Vincent and the Grenadines,Guyana,2,0,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,28,-28,1385,1302,7,-8,108,130
2007-01-14,Thailand,Philippines,4,0,Southeast Asian Championship,Thailand,1,-1,1343,760,0,0,119,211
2007-01-14,Venezuela,Sweden,2,0,Friendly,Venezuela,21,-21,1648,1849,4,-1,50,14
2007-01-15,Haiti,Barbados,2,0,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,18,-18,1497,1318,5,-2,85,123
2007-01-15,Indonesia,Vietnam,1,1,Southeast Asian Championship,Singapore,-3,3,1287,1236,-1,0,134,146
2007-01-15,Singapore,Laos,11,0,Southeast Asian Championship,Singapore,7,-7,1288,906,1,0,133,197
2007-01-15,Trinidad and Tobago,Martinique,5,1,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,14,-14,1550,1359,4,-3,72,114
2007-01-16,Cuba,Saint Vincent and the Grenadines,3,0,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,20,-20,1567,1365,8,-4,65,112
2007-01-16,Guyana,Guadeloupe,4,3,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,26,-26,1328,1385,9,-5,121,107
2007-01-16,Myanmar,Philippines,0,0,Southeast Asian Championship,Thailand,-17,17,1161,777,-1,1,168,210
2007-01-16,Thailand,Malaysia,1,0,Southeast Asian Championship,Thailand,7,-7,1350,1179,1,-7,118,165
2007-01-17,Kuwait,Yemen,1,1,Gulf Cup,the United Arab Emirates,-12,12,1460,1238,-3,4,95,147
2007-01-17,Martinique,Barbados,3,2,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,18,-18,1377,1300,6,-6,108,130
2007-01-17,Singapore,Indonesia,2,2,Southeast Asian Championship,Singapore,-6,6,1282,1293,-1,1,134,133
2007-01-17,Trinidad and Tobago,Haiti,3,1,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,18,-18,1568,1479,7,-4,66,89
2007-01-17,United Arab Emirates,Oman,1,2,Gulf Cup,the United Arab Emirates,-21,21,1461,1587,-5,5,94,61
2007-01-17,Vietnam,Laos,9,0,Southeast Asian Championship,Singapore,13,-13,1249,893,2,-3,144,200
2007-01-18,Cuba,Guyana,0,0,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,-12,12,1555,1340,-5,0,72,121
2007-01-18,Ecuador,Sweden,2,1,Friendly,Ecuador,10,-10,1771,1839,2,-2,28,16
2007-01-18,Guadeloupe,Saint Vincent and the Grenadines,1,0,CONCACAF Champ qual & Carib Cup,Trinidad and Tobago,19,-19,1404,1346,4,-5,103,118
2007-01-18,Iraq,Qatar,1,0,Gulf Cup,the United Arab Emirates,17,-17,1616,1528,2,-4,55,78
2007-01-18,Saudi Arabia,Bahrain,2,1,Gulf Cup,the United Arab Emirates,15,-15,1603,1475,3,-3,57,89
2007-01-20,Haiti,Guadeloupe,3,1,Caribbean Cup,Trinidad and Tobago,24,-24,1503,1380,4,-4,84,107
2007-01-20,Oman,Kuwait,2,1,Gulf Cup,the United Arab Emirates,13,-13,1600,1447,2,-1,59,96
2007-01-20,Trinidad and Tobago,Cuba,3,1,Caribbean Cup,Trinidad and Tobago,21,-21,1589,1534,5,-4,61,76
2007-01-20,United Arab Emirates,Yemen,2,1,Gulf Cup,the United Arab Emirates,5,-5,1466,1233,1,0,93,147
2007-01-21,Bahrain,Iraq,1,1,Gulf Cup,the United Arab Emirates,8,-8,1483,1608,1,0,88,55
2007-01-21,Ecuador,Sweden,1,1,Friendly,Ecuador,-1,1,1770,1840,0,0,28,16
2007-01-21,Qatar,Saudi Arabia,1,1,Gulf Cup,the United Arab Emirates,4,-4,1532,1599,1,-2,77,59
2007-01-23,Cuba,Guadeloupe,2,1,Caribbean Cup,Trinidad and Tobago,12,-12,1546,1368,3,-4,73,111
2007-01-23,Malaysia,Singapore,1,1,Southeast Asian Championship,Malaysia,0,0,1179,1282,0,0,165,134
2007-01-23,Oman,Yemen,2,1,Gulf Cup,the United Arab Emirates,4,-4,1604,1229,1,-3,57,150
2007-01-23,Trinidad and Tobago,Haiti,1,2,Caribbean Cup,Trinidad and Tobago,-30,30,1559,1533,-9,7,70,77
2007-01-23,United Arab Emirates,Kuwait,3,2,Gulf Cup,the United Arab Emirates,13,-13,1479,1434,3,-2,90,98
2007-01-24,Bahrain,Qatar,2,1,Gulf Cup,the United Arab Emirates,23,-23,1506,1509,5,-3,83,81
2007-01-24,Saudi Arabia,Iraq,1,0,Gulf Cup,the United Arab Emirates,21,-21,1620,1587,4,-6,55,61
2007-01-24,Vietnam,Thailand,0,2,Southeast Asian Championship,Vietnam,-30,30,1219,1380,-8,10,152,107
2007-01-24,Zanzibar,Northern Cyprus,2,1,Friendly,Zanzibar,14,-14,1225,1455,2,-2,151,95
2007-01-27,Oman,Bahrain,1,0,Gulf Cup,the United Arab Emirates,15,-15,1619,1491,2,-5,55,88
2007-01-27,Singapore,Malaysia,1,1,Southeast Asian Championship,Singapore,-11,11,1271,1190,-4,7,138,158
2007-01-27,United Arab Emirates,Saudi Arabia,1,0,Gulf Cup,the United Arab Emirates,22,-22,1501,1598,5,-3,85,58
2007-01-28,Thailand,Vietnam,0,0,Southeast Asian Championship,Thailand,-13,13,1367,1232,-5,6,112,146
2007-01-30,United Arab Emirates,Oman,1,0,Gulf Cup,the United Arab Emirates,21,-21,1522,1598,5,-2,80,57
2007-01-31,Panama,Trinidad and Tobago,2,1,Friendly,Panama,9,-9,1508,1550,2,-2,84,72
2007-01-31,Singapore,Thailand,2,1,Southeast Asian Championship,Singapore,20,-20,1291,1347,4,-5,134,117
2007-02-03,Poland,Estonia,4,0,Friendly,Spain,4,-4,1783,1402,1,0,24,102
2007-02-04,Costa Rica,Trinidad and Tobago,4,0,Friendly,Costa Rica,10,-10,1644,1540,1,-3,51,75
