date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2003-01-02,Bhutan,Bangladesh,0,1,Jigme Wangchuk Memorial King's Cup,Bhutan,-3,3,563,1030,0,1,226,185
2003-01-10,Pakistan,India,1,0,South Asian Championship,Bangladesh,35,-35,823,1097,1,-10,207,175
2003-01-10,Sri Lanka,Afghanistan,1,0,South Asian Championship,Bangladesh,17,-17,935,855,1,-2,192,203
2003-01-11,Bangladesh,Nepal,1,0,South Asian Championship,Bangladesh,8,-8,1038,872,0,-1,185,200
2003-01-11,Maldives,Bhutan,6,0,South Asian Championship,Bangladesh,11,-11,906,552,2,0,195,226
2003-01-12,Barbados,Jamaica,1,0,Friendly,Barbados,14,-14,1356,1562,5,-1,122,62
2003-01-12,India,Afghanistan,4,0,South Asian Championship,Bangladesh,15,-15,1112,840,8,-4,167,207
2003-01-12,Pakistan,Sri Lanka,2,1,South Asian Championship,Bangladesh,26,-26,849,909,2,-2,205,194
2003-01-13,Bangladesh,Maldives,1,0,South Asian Championship,Bangladesh,8,-8,1046,898,0,-2,185,197
2003-01-13,Nepal,Bhutan,2,0,South Asian Championship,Bangladesh,8,-8,880,544,1,-1,199,227
2003-01-14,India,Sri Lanka,1,1,South Asian Championship,Bangladesh,-11,11,1101,920,-6,1,173,193
2003-01-14,Pakistan,Afghanistan,1,0,South Asian Championship,Bangladesh,19,-19,868,821,4,0,201,207
2003-01-15,Bangladesh,Bhutan,3,0,South Asian Championship,Bangladesh,2,-2,1048,542,2,0,183,227
2003-01-15,Maldives,Nepal,3,2,South Asian Championship,Bangladesh,19,-19,917,861,2,-4,195,203
2003-01-17,El Salvador,Guatemala,0,0,Friendly,the United States,1,-1,1501,1532,1,0,73,69
2003-01-18,Bangladesh,India,2,1,South Asian Championship,Bangladesh,17,-17,1065,1084,2,-3,181,176
2003-01-18,Maldives,Pakistan,1,0,South Asian Championship,Bangladesh,17,-17,934,851,3,-5,192,205
2003-01-18,United States,Canada,4,0,Friendly,the United States,6,-6,1832,1628,0,0,16,50
2003-01-19,El Salvador,Guatemala,0,0,Friendly,the United States,1,-1,1502,1531,1,0,72,69
2003-01-20,Bangladesh,Maldives,1,1,South Asian Championship,Bangladesh,-12,12,1053,946,-1,1,182,191
2003-01-20,India,Pakistan,2,1,South Asian Championship,Bangladesh,8,-8,1092,843,1,0,175,205
2003-01-25,Uganda,Algeria,0,1,Friendly,Uganda,-10,10,1383,1502,-3,8,112,72
2003-01-26,Barbados,Finland,0,0,Friendly,Barbados,6,-6,1362,1667,0,-3,122,47
2003-01-26,Ghana,Benin,3,0,Friendly,Ghana,5,-5,1505,1275,5,-1,71,139
2003-01-26,United Arab Emirates,Norway,1,1,Friendly,the United Arab Emirates,7,-7,1422,1794,3,-2,103,24
2003-01-28,Oman,Norway,1,2,Friendly,Oman,-4,4,1435,1798,-1,2,100,22
2003-01-29,Cyprus,Greece,1,2,Friendly,Cyprus,-8,8,1494,1677,-6,2,79,43
2003-01-29,Trinidad and Tobago,Finland,1,2,Friendly,Trinidad and Tobago,-7,7,1465,1674,-3,2,89,45
2003-01-31,Honduras,Argentina,1,3,Friendly,Honduras,-10,10,1758,2006,-2,0,31,3
2003-02-04,Argentina,Mexico,1,0,Friendly,the United States,5,-5,2011,1829,0,-1,3,16
2003-02-04,Iran,Uruguay,1,1,Carlsberg Cup,Hong Kong,3,-3,1712,1778,0,0,36,27
2003-02-08,United States,Argentina,0,1,Friendly,the United States,-8,8,1824,2019,-1,0,16,3
2003-02-09,Croatia,Macedonia,2,2,Marjan Trophy,Croatia,-13,13,1790,1477,-4,5,25,85
2003-02-09,Ecuador,Estonia,1,0,Friendly,Ecuador,2,-2,1724,1435,0,0,35,99
2003-02-09,Panama,El Salvador,1,2,CONCACAF Champ q & UNCAF Cup,Panama,-20,20,1377,1522,-8,3,115,70
2003-02-11,Costa Rica,El Salvador,1,0,CONCACAF Champ q & UNCAF Cup,Panama,8,-8,1760,1514,1,-1,31,71
2003-02-11,Honduras,Nicaragua,2,0,CONCACAF Champ q & UNCAF Cup,Panama,0,0,1758,918,-1,0,32,195
2003-02-11,Ivory Coast,Cameroon,3,0,Friendly,France,28,-28,1584,1766,3,-5,60,29
2003-02-12,Albania,Vietnam,5,0,Friendly,Italy,11,-11,1459,1279,3,-5,91,137
2003-02-12,Algeria,Belgium,1,3,Friendly,Algeria,-8,8,1494,1791,-4,2,78,23
2003-02-12,Barbados,Martinique,3,3,Friendly,Barbados,-1,1,1361,1443,0,1,122,95
2003-02-12,Bulgaria,Hungary,1,0,Friendly,Cyprus,6,-6,1753,1588,0,-1,33,58
2003-02-12,China,Brazil,0,0,Friendly,China,8,-8,1613,2049,1,-1,54,2
2003-02-12,Colombia,Mexico,0,0,Friendly,the United States,-1,1,1863,1830,0,0,13,15
2003-02-12,Croatia,Poland,0,0,Marjan Trophy,Croatia,-7,7,1783,1716,-1,0,25,37
2003-02-12,Cyprus,Russia,0,1,Friendly tournament,Cyprus,-7,7,1487,1814,-1,1,80,18
2003-02-12,Ecuador,Estonia,2,1,Friendly,Ecuador,2,-2,1726,1433,-1,-2,36,101
2003-02-12,Egypt,Denmark,1,4,Friendly,Egypt,-9,9,1593,1906,0,0,56,9
2003-02-12,England,Australia,1,3,Friendly,England,-24,24,1926,1822,0,4,6,17
2003-02-12,France,Czechia,0,2,Friendly,France,-23,23,1950,1889,0,2,5,10
2003-02-12,Georgia,Moldova,2,2,Friendly,Georgia,-7,7,1578,1361,-2,1,61,122
2003-02-12,Greece,Norway,1,0,Friendly,Greece,11,-11,1688,1787,2,-3,41,24
2003-02-12,Israel,Armenia,2,0,Friendly,Israel,3,-3,1689,1416,1,0,40,105
2003-02-12,Italy,Portugal,1,0,Friendly,Italy,9,-9,1887,1921,0,0,11,8
2003-02-12,Jamaica,United States,1,2,Friendly,Jamaica,-6,6,1556,1830,-1,1,64,15
2003-02-12,Latvia,Lithuania,2,1,Friendly,Turkey,8,-8,1475,1376,1,-6,86,115
2003-02-12,Libya,Canada,2,4,Friendly,Libya,-9,9,1367,1637,-3,0,119,50
2003-02-12,Mali,Guinea,1,0,Friendly,France,9,-9,1506,1466,4,-1,73,87
2003-02-12,Malta,Kazakhstan,2,2,Friendly,Malta,3,-3,1244,1447,1,-1,146,94
2003-02-12,Morocco,Senegal,1,0,Friendly,France,16,-16,1569,1760,2,-3,62,30
2003-02-12,Netherlands,Argentina,1,0,Friendly,the Netherlands,6,-6,2056,2013,1,0,1,3
2003-02-12,Northern Ireland,Finland,0,1,Friendly,Northern Ireland,-9,9,1513,1683,-1,3,71,42
2003-02-12,Romania,Slovakia,2,1,Friendly tournament,Cyprus,10,-10,1805,1662,3,-2,20,48
2003-02-12,Scotland,Ireland,0,2,Friendly,Scotland,-13,13,1679,1861,-4,0,44,14
2003-02-12,Serbia and Montenegro,Azerbaijan,2,2,European Championship qualifier,Serbia and Montenegro,-19,19,1793,1327,-4,2,22,128
2003-02-12,Slovenia,Switzerland,1,5,Friendly,Slovenia,-21,21,1638,1730,0,2,49,35
2003-02-12,Spain,Germany,3,1,Friendly,Spain,9,-9,2005,1926,0,1,4,6
2003-02-12,Tunisia,Sweden,1,0,Friendly,Tunisia,13,-13,1626,1810,2,-2,51,19
2003-02-12,Turkey,Ukraine,0,0,Friendly,Turkey,-7,7,1887,1700,-1,0,11,39
2003-02-12,Wales,Bosnia and Herzegovina,2,2,Friendly,Wales,-7,7,1670,1508,-2,3,45,72
2003-02-13,Costa Rica,Guatemala,1,1,CONCACAF Champ q & UNCAF Cup,Panama,-12,12,1748,1543,-3,2,33,67
2003-02-13,Cyprus,Slovakia,1,3,Friendly tournament,Cyprus,-18,18,1469,1680,-6,4,86,44
2003-02-13,El Salvador,Nicaragua,3,0,CONCACAF Champ q & UNCAF Cup,Panama,2,-2,1516,916,0,0,70,195
2003-02-13,Russia,Romania,4,2,Friendly tournament,Cyprus,22,-22,1836,1783,3,-4,15,24
2003-02-14,Poland,Macedonia,3,0,Marjan Trophy,Croatia,11,-11,1727,1466,1,-2,36,86
2003-02-15,Benin,Ghana,1,0,Friendly,Benin,14,-14,1289,1491,6,-5,133,79
2003-02-15,Costa Rica,Nicaragua,1,0,CONCACAF Champ q & UNCAF Cup,Panama,0,0,1748,916,1,0,32,195
2003-02-15,El Salvador,Honduras,1,0,CONCACAF Champ q & UNCAF Cup,Panama,32,-32,1548,1726,4,-5,66,36
2003-02-16,China,Estonia,1,0,Friendly,China,3,-3,1616,1430,0,0,54,101
2003-02-16,Gambia,Nigeria,0,1,Friendly,The Gambia,-3,3,1362,1743,-1,0,121,33
2003-02-16,Panama,Guatemala,2,0,CONCACAF Champ q & UNCAF Cup,Panama,36,-36,1413,1507,7,-4,107,72
2003-02-16,Sweden,Qatar,3,2,King's Cup,Thailand,6,-6,1816,1574,0,-1,19,61
2003-02-16,Thailand,North Korea,2,2,King's Cup,Thailand,-1,1,1423,1504,0,0,102,74
2003-02-18,Guatemala,Nicaragua,5,0,CONCACAF Champ q & UNCAF Cup,Panama,3,-3,1510,913,0,0,72,195
2003-02-18,North Korea,Sweden,1,1,King's Cup,Thailand,11,-11,1515,1805,4,0,70,19
2003-02-18,Panama,Honduras,1,1,CONCACAF Champ q & UNCAF Cup,Panama,11,-11,1424,1715,4,-1,103,37
2003-02-18,Thailand,Qatar,1,1,King's Cup,Thailand,2,-2,1425,1572,0,0,102,61
2003-02-20,Costa Rica,Honduras,1,0,CONCACAF Champ q & UNCAF Cup,Panama,18,-18,1766,1697,4,-2,28,39
2003-02-20,Guatemala,El Salvador,2,0,CONCACAF Champ q & UNCAF Cup,Panama,33,-33,1543,1515,5,-5,67,71
2003-02-20,North Korea,Qatar,2,2,King's Cup,Thailand,2,-2,1517,1570,0,0,70,61
2003-02-20,Thailand,Sweden,1,4,King's Cup,Thailand,-9,9,1416,1814,-3,0,105,19
2003-02-21,Panama,Nicaragua,0,1,CONCACAF Champ q & UNCAF Cup,Panama,-39,39,1385,952,-7,4,109,191
2003-02-22,Hong Kong,Taiwan,2,0,East Asian Championship qualifier,Hong Kong,12,-12,1188,1018,1,0,156,186
2003-02-22,Macao,Mongolia,2,0,East Asian Championship qualifier,Hong Kong,22,-22,916,782,2,0,196,208
2003-02-22,Madagascar,Mauritius,2,1,COSAFA Cup,Madagascar,6,-6,1427,1220,0,-1,103,152
2003-02-22,Malawi,DR Congo,1,1,Friendly,Malawi,0,0,1353,1458,0,0,124,92
2003-02-22,Sweden,North Korea,4,0,King's Cup,Thailand,9,-9,1823,1508,1,-2,18,72
2003-02-22,Thailand,Qatar,3,1,King's Cup,Thailand,26,-26,1442,1544,7,-5,97,66
2003-02-23,Guatemala,Honduras,2,1,CONCACAF Champ q & UNCAF Cup,Panama,28,-28,1571,1669,6,-7,61,46
2003-02-23,Malawi,DR Congo,2,3,Friendly,Malawi,-10,10,1343,1468,-3,6,127,86
2003-02-23,Panama,Costa Rica,0,1,CONCACAF Champ q & UNCAF Cup,Panama,-7,7,1378,1773,-5,1,114,27
2003-02-23,Peru,Haiti,5,1,Friendly,Peru,8,-8,1633,1488,1,-3,51,79
