date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2025-01-02,Vietnam,Thailand,2,1,Southeast Asian Championship,Vietnam,21,-21,1327,1409,5,-7,130,102
2025-01-04,Bahrain,Oman,2,1,Gulf Cup,Kuwait,21,-21,1530,1513,3,-4,77,80
2025-01-05,Thailand,Vietnam,2,3,Southeast Asian Championship,Thailand,-30,30,1379,1357,-12,10,114,120
2025-01-18,United States,Venezuela,3,1,Friendly,the United States,10,-10,1768,1734,1,-1,33,37
2025-01-22,United States,Costa Rica,3,0,Friendly,the United States,8,-8,1776,1645,5,0,28,52
2025-01-27,Jordan,Uzbekistan,0,0,Friendly,Qatar,2,-2,1619,1682,0,0,54,49
2025-02-06,Jamaica,Trinidad and Tobago,1,0,Friendly,Jamaica,3,-3,1578,1391,2,0,64,108
2025-02-08,Chile,Panama,6,1,Friendly,Chile,15,-15,1728,1711,5,-4,39,44
2025-02-09,Jamaica,Trinidad and Tobago,1,1,Friendly,Jamaica,-7,7,1571,1398,-2,2,66,106
2025-02-17,North Korea,Kazakhstan,2,0,Friendly,Turkey,17,-17,1404,1414,7,-5,105,99
2025-03-06,Saint Vincent and the Grenadines,Grenada,1,1,Friendly,Saint Vincent and the Grenadines,-4,4,1125,1068,-1,0,168,179
2025-03-09,Saint Vincent and the Grenadines,Grenada,1,1,Friendly,Saint Vincent and the Grenadines,-4,4,1121,1072,-1,0,169,179
2025-03-13,Oman,Sudan,0,0,Friendly,Oman,-6,6,1507,1394,0,2,80,110
2025-03-14,Jordan,North Korea,1,1,Friendly,Jordan,-7,7,1612,1411,0,4,54,101
2025-03-15,China,Kuwait,3,1,Friendly,the United Arab Emirates,12,-12,1425,1322,4,-1,96,130
2025-03-16,Guatemala,Honduras,2,1,Friendly,the United States,12,-12,1519,1548,0,-3,80,71
2025-03-19,Vietnam,Cambodia,2,1,Friendly,Vietnam,1,-1,1358,848,0,0,120,205
2025-03-19,Russia,Grenada,5,0,Friendly,Russia,0,0,1789,1072,0,0,25,179
2025-03-19,Kazakhstan,Curaçao,2,0,Friendly,Turkey,12,-12,1426,1323,4,-2,96,129
2025-03-19,India,Maldives,3,0,Friendly,India,3,-3,1178,886,0,0,162,203
2025-03-19,Hong Kong,Macao,2,0,Friendly,Hong Kong,1,-1,1137,598,0,0,166,232
2025-03-19,Madagascar,Central African Republic,4,1,World Cup qualifier,Morocco,35,-35,1322,1249,9,-11,130,152
2025-03-19,Liberia,Tunisia,0,1,World Cup qualifier,Liberia,-8,8,1256,1606,0,1,150,58
2025-03-19,Cameroon,Eswatini,0,0,World Cup qualifier,South Africa,-16,16,1578,1234,-3,4,63,154
