date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2014-01-01,Jordan,Kuwait,2,1,West Asian Championship,Qatar,21,-21,1594,1568,8,-7,58,67
2014-01-04,Jordan,Bahrain,1,0,West Asian Championship,Qatar,13,-13,1607,1458,2,-3,56,97
2014-01-04,Qatar,Kuwait,3,0,West Asian Championship,Qatar,32,-32,1533,1536,11,-7,75,74
2014-01-07,Bahrain,Kuwait,0,0,West Asian Championship,Qatar,4,-4,1462,1532,1,-1,96,75
2014-01-07,Qatar,Jordan,2,0,West Asian Championship,Qatar,28,-28,1561,1579,6,-9,69,65
2014-01-15,Norway,Moldova,2,1,Friendly,the United Arab Emirates,5,-5,1630,1439,1,-2,53,103
2014-01-17,Sweden,Moldova,2,1,Friendly,the United Arab Emirates,2,-2,1828,1437,0,-1,19,104
2014-01-18,Poland,Norway,3,0,Friendly,the United Arab Emirates,18,-18,1640,1612,4,-2,51,55
2014-01-20,Poland,Moldova,1,0,Friendly,the United Arab Emirates,5,-5,1645,1432,0,0,51,104
2014-01-21,Sweden,Iceland,2,0,Friendly,the United Arab Emirates,5,-5,1833,1537,0,-1,19,74
2014-01-22,Chile,Costa Rica,4,0,Friendly,Chile,6,-6,1920,1728,1,-1,9,30
2014-01-24,Oman,Finland,0,0,Friendly,Oman,0,0,1564,1672,0,0,68,45
2014-01-25,South Korea,Costa Rica,1,0,Friendly,the United States,11,-11,1697,1717,1,-3,41,33
2014-01-29,Mexico,South Korea,4,0,Friendly,the United States,14,-14,1810,1683,1,-2,21,43
2014-01-31,Oman,Jordan,0,0,Asian Cup qualifier,Oman,-5,5,1559,1584,-1,2,69,63
2014-02-01,United States,South Korea,2,0,Friendly,the United States,5,-5,1867,1678,0,-1,13,44
2014-02-04,Singapore,Jordan,1,3,Asian Cup qualifier,Singapore,-13,13,1249,1597,-2,6,145,57
2014-02-07,Saint Vincent and the Grenadines,Dominica,3,2,Friendly,Saint Vincent and the Grenadines,4,-4,1144,1010,0,-1,171,188
2014-02-09,Saint Vincent and the Grenadines,Dominica,0,0,Friendly,Saint Vincent and the Grenadines,-6,6,1138,1016,0,1,171,187
2014-02-19,Lebanon,Pakistan,3,1,Friendly,Lebanon,1,-1,1378,946,0,0,118,195
2014-02-21,Iraq,North Korea,2,0,Friendly,the United Arab Emirates,18,-18,1538,1567,4,-4,74,66
2014-03-01,Gibraltar,Faroe Islands,1,4,Friendly,Gibraltar,-21,21,1131,1203,-5,4,173,155
2014-03-01,Malaysia,Philippines,0,0,Friendly,Malaysia,-2,2,1170,1200,0,-1,163,157
2014-03-02,Barbados,Jamaica,0,2,Friendly,Barbados,-5,5,1128,1522,-1,1,173,78
2014-03-03,Iran,Kuwait,3,2,Asian Cup qualifier,Iran,6,-6,1738,1526,0,-1,29,77
2014-03-05,Albania,Malta,2,0,Friendly,Albania,3,-3,1519,1248,-1,0,81,144
2014-03-05,Algeria,Slovenia,2,0,Friendly,Algeria,14,-14,1597,1646,4,-1,59,49
2014-03-05,Andorra,Moldova,0,3,Friendly,Andorra,-4,4,989,1436,0,0,192,104
2014-03-05,Austria,Uruguay,1,1,Friendly,Austria,4,-4,1666,1914,0,0,47,10
2014-03-05,Azerbaijan,Philippines,1,0,Friendly,the United Arab Emirates,4,-4,1445,1196,0,-1,101,158
2014-03-05,Belgium,Ivory Coast,2,2,Friendly,Belgium,-4,4,1830,1778,0,1,18,23
2014-03-05,Botswana,South Sudan,3,0,Friendly,Botswana,4,-4,1311,1056,1,-1,130,182
2014-03-05,Bulgaria,Belarus,2,1,Friendly,Bulgaria,6,-6,1646,1582,3,-1,49,62
