date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2005-01-02,Singapore,Myanmar,4,2,Southeast Asian Championship,Singapore,16,-16,1242,1129,7,-3,143,169
2005-01-03,Malaysia,Indonesia,1,4,Southeast Asian Championship,Malaysia,-36,36,1194,1360,-7,12,157,114
2005-01-08,Egypt,Uganda,3,0,Friendly,Egypt,3,-3,1648,1331,1,0,49,124
2005-01-08,Indonesia,Singapore,1,3,Southeast Asian Championship,Indonesia,-47,47,1313,1289,-14,9,128,134
2005-01-08,Jamaica,French Guiana,5,0,CONCACAF Champ & Carib Cup qual,Jamaica,4,-4,1629,1196,1,-2,51,155
2005-01-09,Haiti,Cuba,0,1,CONCACAF Champ & Carib Cup qual,Haiti,-20,20,1460,1607,-2,3,91,62
2005-01-09,Trinidad and Tobago,Saint Vincent and the Grenadines,3,1,CONCACAF Champ & Carib Cup qual,Trinidad and Tobago,11,-11,1518,1330,3,-2,78,124
2005-01-12,Antigua and Barbuda,Trinidad and Tobago,2,1,Friendly,Antigua and Barbuda,17,-17,1116,1501,2,-6,171,84
2005-01-12,Costa Rica,Haiti,3,3,Friendly,Costa Rica,-7,7,1684,1467,-3,1,40,90
2005-01-15,Colombia,South Korea,2,1,Friendly,the United States,8,-8,1809,1706,1,0,21,34
2005-01-15,French Guiana,Jamaica,0,0,CONCACAF Champ & Carib Cup qual,French Guiana,15,-15,1211,1614,3,-7,152,58
2005-01-15,Malaysia,Myanmar,2,1,Southeast Asian Championship,Singapore,16,-16,1210,1113,4,-2,153,171
2005-01-16,Cuba,Haiti,1,1,CONCACAF Champ & Carib Cup qual,Cuba,-12,12,1595,1479,-1,1,63,89
2005-01-16,Singapore,Indonesia,2,1,Southeast Asian Championship,Singapore,16,-16,1305,1297,3,-5,131,133
2005-01-16,Saint Vincent and the Grenadines,Trinidad and Tobago,1,0,CONCACAF Champ & Carib Cup qual,Saint Vincent and the Grenadines,24,-24,1354,1477,8,-6,116,90
2005-01-17,Colombia,Guatemala,1,1,Friendly,the United States,-5,5,1804,1621,0,2,21,54
2005-01-19,Paraguay,South Korea,1,1,Friendly,the United States,-2,2,1772,1708,0,0,27,34
2005-01-21,Trinidad and Tobago,Azerbaijan,1,0,Friendly,Trinidad and Tobago,5,-5,1482,1387,3,0,87,105
2005-01-22,Kuwait,Norway,1,1,Friendly,Kuwait,5,-5,1511,1793,1,0,80,25
2005-01-22,South Korea,Sweden,1,1,Friendly,the United States,4,-4,1712,1868,0,0,34,13
2005-01-23,Barbados,Grenada,3,0,Friendly,Barbados,9,-9,1334,1224,2,-2,123,149
2005-01-23,Paraguay,Guatemala,2,1,Friendly,the United States,6,-6,1778,1615,0,-2,27,56
2005-01-23,Trinidad and Tobago,Azerbaijan,2,0,Friendly,Trinidad and Tobago,7,-7,1489,1380,0,-2,87,107
2005-01-25,Bahrain,Norway,0,1,Friendly,Bahrain,-7,7,1585,1800,-1,1,65,24
2005-01-25,Saudi Arabia,Tajikistan,3,0,Friendly,Saudi Arabia,5,-5,1578,1362,0,-2,68,113
2005-01-26,Ecuador,Panama,2,0,Friendly,Ecuador,6,-6,1674,1510,2,-1,42,80
2005-01-26,Kuwait,Syria,3,2,Friendly,Kuwait,6,-6,1517,1450,2,-1,78,94
2005-01-26,Mexico,Sweden,0,0,Friendly,the United States,-1,1,1886,1869,0,0,10,13
2005-01-28,Jordan,Norway,0,0,Friendly,Jordan,3,-3,1584,1797,1,-1,66,25
2005-01-29,Ecuador,Panama,2,0,Friendly,Ecuador,5,-5,1679,1505,0,-2,42,82
2005-01-29,Japan,Kazakhstan,4,0,Friendly,Japan,1,-1,1846,1347,0,0,16,120
2005-01-29,Saudi Arabia,Turkmenistan,1,0,Friendly,Saudi Arabia,3,-3,1581,1363,0,-1,68,112
2005-01-30,Barbados,Saint Vincent and the Grenadines,3,1,Friendly,Barbados,12,-12,1346,1342,2,-7,121,123
2005-01-30,Saudi Arabia,Turkmenistan,1,2,Friendly,Saudi Arabia,-17,17,1564,1380,0,5,68,107
2005-02-01,Trinidad and Tobago,Haiti,1,0,Friendly,Trinidad and Tobago,7,-7,1496,1472,2,0,85,90
2005-02-02,Bahrain,Lebanon,2,1,Friendly,Qatar,4,-4,1589,1350,1,-1,64,117
2005-02-02,Hungary,Saudi Arabia,0,0,Friendly,Turkey,-1,1,1607,1565,0,0,61,68
2005-02-02,Iran,Bosnia and Herzegovina,2,1,Friendly,Iran,3,-3,1803,1619,1,-1,23,54
2005-02-02,Japan,Syria,3,0,Friendly,Japan,2,-2,1848,1448,0,0,16,94
2005-02-02,Kuwait,North Korea,0,0,Friendly,China,-1,1,1516,1466,-1,0,79,91
2005-02-03,Gabon,Central African Republic,4,0,CEMAC Cup,Gabon,13,-13,1421,1218,1,-1,99,149
2005-02-03,Trinidad and Tobago,Haiti,2,1,Friendly,Trinidad and Tobago,7,-7,1503,1465,1,-1,84,91
2005-02-04,South Korea,Egypt,0,1,Friendly,South Korea,-14,14,1698,1662,-1,2,35,47
2005-02-06,Barbados,Antigua and Barbuda,3,2,Friendly,Barbados,3,-3,1349,1113,2,0,119,170
2005-02-06,Congo,Central African Republic,1,0,CEMAC Cup,Gabon,11,-11,1406,1207,3,-5,101,154
2005-02-06,Trinidad and Tobago,Haiti,0,1,Friendly,Trinidad and Tobago,-14,14,1489,1479,-3,1,87,90
2005-02-08,Chad,Equatorial Guinea,0,0,CEMAC Cup,Gabon,-11,11,1286,1087,-1,3,134,175
2005-02-08,Cyprus,Austria,1,1,Friendly tournament,Cyprus,5,-5,1444,1643,0,0,96,50
2005-02-08,DR Congo,Ivory Coast,2,2,Friendly,France,6,-6,1448,1664,1,-2,94,45
2005-02-08,Finland,Latvia,2,1,Friendly tournament,Cyprus,7,-7,1696,1485,1,-2,36,87
2005-02-08,Gabon,Congo,1,0,CEMAC Cup,Gabon,14,-14,1435,1392,2,-3,97,104
2005-02-09,Albania,Ukraine,0,2,World Cup qualifier,Albania,-22,22,1519,1764,-6,2,77,29
2005-02-09,Algeria,Burkina Faso,3,0,Friendly,Algeria,11,-11,1430,1374,2,-4,98,109
2005-02-09,Austria,Latvia,1,1,Friendly tournament,Cyprus,-6,6,1637,1491,-1,2,51,85
2005-02-09,Azerbaijan,Moldova,0,0,Friendly,Azerbaijan,-2,2,1378,1404,0,0,107,102
2005-02-09,Bahrain,Iran,0,0,World Cup qualifier,Bahrain,6,-6,1595,1797,1,-1,63,24
2005-02-09,Bulgaria,Serbia and Montenegro,0,0,Friendly,Bulgaria,-2,2,1727,1774,0,0,32,28
2005-02-09,Cameroon,Senegal,1,0,Friendly,France,10,-10,1711,1679,1,-2,33,40
2005-02-09,Chile,Ecuador,3,0,Friendly,Chile,14,-14,1669,1665,3,-4,45,46
2005-02-09,Costa Rica,Mexico,1,2,World Cup qualifier,Costa Rica,-14,14,1670,1900,-4,1,44,9
2005-02-09,Cyprus,Finland,1,2,Friendly tournament,Cyprus,-9,9,1435,1705,0,0,96,36
2005-02-09,Egypt,Belgium,4,0,Friendly,Egypt,17,-17,1679,1707,7,-2,40,35
2005-02-09,England,Netherlands,0,0,Friendly,England,-4,4,1973,1943,0,0,4,7
2005-02-09,France,Sweden,1,1,Friendly,France,-6,6,1979,1875,-1,0,3,13
2005-02-09,Georgia,Lithuania,1,0,Friendly,Georgia,5,-5,1535,1454,1,0,72,92
2005-02-09,Germany,Argentina,2,2,Friendly,Germany,1,-1,1882,2028,0,0,12,1
2005-02-09,Greece,Denmark,2,1,World Cup qualifier,Greece,13,-13,1896,1846,1,-1,10,16
2005-02-09,Guinea,Mali,2,2,Friendly,France,0,0,1522,1523,1,1,76,75
2005-02-09,Hong Kong,Brazil,1,7,Carlsberg Cup,Hong Kong,-1,1,1209,1973,-1,1,153,4
2005-02-09,Ireland,Portugal,1,0,Friendly,Ireland,8,-8,1869,1896,0,-1,14,10
2005-02-09,Israel,Croatia,3,3,Friendly,Israel,1,-1,1687,1837,1,0,38,17
2005-02-09,Italy,Russia,2,0,Friendly,Italy,6,-6,1913,1760,0,-1,8,30
2005-02-09,Japan,North Korea,2,1,World Cup qualifier,Japan,2,-2,1850,1464,1,0,15,91
2005-02-09,Macedonia,Andorra,0,0,World Cup qualifier,Macedonia,-18,18,1483,1111,-2,2,86,172
