date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2015-01-03,China,Oman,4,1,Friendly,Australia,18,-18,1571,1535,0,-8,67,75
2015-01-04,Bahrain,Jordan,1,0,Friendly,Australia,12,-12,1487,1525,4,-4,89,78
2015-01-04,Iran,Iraq,1,0,Friendly,Australia,6,-6,1679,1506,2,-3,40,85
2015-01-04,South Africa,Zambia,1,0,Friendly,South Africa,4,-4,1631,1508,0,0,55,82
2015-01-04,South Korea,Saudi Arabia,2,0,Friendly,Australia,9,-9,1642,1463,3,-3,51,97
2015-01-07,Cameroon,DR Congo,1,1,Friendly,Cameroon,-7,7,1634,1476,-2,1,54,93
2015-01-07,Cape Verde,Equatorial Guinea,1,1,Friendly,Portugal,-5,5,1497,1310,-1,1,88,131
2015-01-09,Australia,Kuwait,4,1,Asian Cup,Australia,17,-17,1669,1490,3,-4,46,88
2015-01-09,Senegal,Gabon,1,0,Friendly,Morocco,7,-7,1645,1520,2,-2,51,79
2015-01-10,Burkina Faso,Swaziland,5,1,Friendly,South Africa,3,-3,1537,1135,1,-1,74,172
2015-01-10,Cameroon,South Africa,1,1,Friendly,Gabon,0,0,1634,1631,0,0,54,55
2015-01-10,Cape Verde,Congo,3,2,Friendly,Senegal,8,-8,1505,1423,1,-1,86,106
2015-01-10,China,Saudi Arabia,1,0,Asian Cup,Australia,17,-17,1588,1446,1,-2,66,99
2015-01-10,South Korea,Oman,1,0,Asian Cup,Australia,18,-18,1660,1517,3,-5,49,79
2015-01-10,Uzbekistan,North Korea,1,0,Asian Cup,Australia,17,-17,1666,1515,3,-5,47,81
2015-01-11,Iran,Bahrain,2,0,Asian Cup,Australia,19,-19,1698,1468,4,-5,36,94
2015-01-11,Tunisia,Algeria,1,1,Friendly,Tunisia,-1,1,1595,1673,1,0,62,44
2015-01-11,United Arab Emirates,Qatar,4,1,Asian Cup,Australia,40,-40,1681,1574,12,-7,41,67
2015-01-12,Iraq,Jordan,1,0,Asian Cup,Australia,26,-26,1532,1499,9,-12,75,87
2015-01-12,Japan,Palestine,4,0,Asian Cup,Australia,9,-9,1737,1332,2,-1,27,126
2015-01-13,Australia,Oman,4,0,Asian Cup,Australia,18,-18,1687,1499,9,-7,38,86
2015-01-13,Senegal,Guinea,5,2,Friendly,Morocco,15,-15,1660,1575,2,-2,51,66
2015-01-13,South Korea,Kuwait,1,0,Asian Cup,Australia,14,-14,1674,1476,5,-3,45,91
2015-01-14,China,Uzbekistan,2,1,Asian Cup,Australia,31,-31,1619,1635,4,-5,60,54
2015-01-14,Saudi Arabia,North Korea,4,1,Asian Cup,Australia,52,-52,1498,1463,12,-17,87,97
2015-01-14,South Africa,Mali,3,0,Friendly,Gabon,13,-13,1644,1531,2,-4,53,75
2015-01-15,Iran,Qatar,1,0,Asian Cup,Australia,16,-16,1714,1558,3,0,33,67
2015-01-15,Sweden,Ivory Coast,2,0,Friendly,the United Arab Emirates,11,-11,1794,1677,2,-6,21,43
2015-01-15,United Arab Emirates,Bahrain,2,1,Asian Cup,Australia,11,-11,1692,1457,5,-4,37,98
2015-01-16,Iceland,Canada,2,1,Friendly,the United States,6,-6,1667,1502,0,-4,49,84
2015-01-16,Japan,Iraq,1,0,Asian Cup,Australia,12,-12,1749,1520,0,-3,27,77
2015-01-16,Jordan,Palestine,5,1,Asian Cup,Australia,26,-26,1525,1306,10,-6,75,132
2015-01-17,Australia,South Korea,0,1,Asian Cup,Australia,-33,33,1654,1707,-13,8,51,37
2015-01-17,Equatorial Guinea,Congo,1,1,African Nations Cup,Equatorial Guinea,1,-1,1311,1422,0,0,130,106
2015-01-17,Gabon,Burkina Faso,2,0,African Nations Cup,Equatorial Guinea,39,-39,1559,1498,10,-13,67,86
2015-01-17,Oman,Kuwait,1,0,Asian Cup,Australia,23,-23,1522,1453,9,-8,77,99
2015-01-18,Cape Verde,Tunisia,1,1,African Nations Cup,Equatorial Guinea,6,-6,1511,1589,2,-1,81,64
2015-01-18,China,North Korea,2,1,Asian Cup,Australia,14,-14,1633,1449,4,-4,56,99
2015-01-18,DR Congo,Zambia,1,1,African Nations Cup,Equatorial Guinea,2,-2,1478,1506,2,-1,89,82
2015-01-18,Uzbekistan,Saudi Arabia,3,1,Asian Cup,Australia,23,-23,1658,1475,4,-6,50,92
2015-01-19,Algeria,South Africa,3,1,African Nations Cup,Equatorial Guinea,34,-34,1707,1610,8,-6,37,60
2015-01-19,Bahrain,Qatar,2,1,Asian Cup,Australia,32,-32,1489,1526,9,-6,87,74
2015-01-19,Canada,Iceland,1,1,Friendly,the United States,4,-4,1506,1663,2,0,82,48
2015-01-19,Finland,Sweden,1,0,Friendly,the United Arab Emirates,15,-15,1640,1779,4,-2,54,23
2015-01-19,Iran,United Arab Emirates,1,0,Asian Cup,Australia,23,-23,1737,1669,5,-9,28,47
2015-01-19,Senegal,Ghana,2,1,African Nations Cup,Equatorial Guinea,26,-26,1686,1652,10,-11,39,53
2015-01-20,Cameroon,Mali,1,1,African Nations Cup,Equatorial Guinea,-7,7,1627,1538,-1,1,56,72
2015-01-20,Guinea,Ivory Coast,1,1,African Nations Cup,Equatorial Guinea,7,-7,1582,1670,1,-3,65,46
2015-01-20,Iraq,Palestine,2,0,Asian Cup,Australia,17,-17,1537,1289,4,-1,74,133
2015-01-20,Japan,Jordan,2,0,Asian Cup,Australia,16,-16,1765,1509,2,-6,25,81
2015-01-21,Congo,Gabon,1,0,African Nations Cup,Equatorial Guinea,34,-34,1456,1525,9,-8,97,75
2015-01-21,Equatorial Guinea,Burkina Faso,0,0,African Nations Cup,Equatorial Guinea,6,-6,1317,1492,0,0,130,86
