date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2019-01-02,Oman,Thailand,2,0,Friendly,the United Arab Emirates,9,-9,1537,1375,0,-4,74,113
2019-01-05,United Arab Emirates,Bahrain,1,1,Asian Cup,the United Arab Emirates,-10,10,1474,1442,0,2,85,97
2019-01-06,India,Thailand,4,1,Asian Cup,the United Arab Emirates,62,-62,1283,1313,11,-19,141,132
2019-01-06,Jordan,Australia,1,0,Asian Cup,the United Arab Emirates,42,-42,1490,1694,10,-8,85,43
2019-01-06,Palestine,Syria,0,0,Asian Cup,the United Arab Emirates,14,-14,1396,1586,3,-4,107,61
2019-01-07,China,Kyrgyzstan,2,1,Asian Cup,the United Arab Emirates,11,-11,1525,1280,3,-1,76,141
2019-01-07,Iran,Yemen,5,0,Asian Cup,the United Arab Emirates,3,-3,1826,1188,0,0,19,164
2019-01-07,South Korea,Philippines,1,0,Asian Cup,the United Arab Emirates,2,-2,1780,1174,1,0,22,168
2019-01-08,Finland,Sweden,1,0,Friendly,Qatar,16,-16,1636,1834,3,0,49,18
2019-01-08,Iraq,Vietnam,3,2,Asian Cup,the United Arab Emirates,10,-10,1592,1328,4,-7,59,126
2019-01-08,Saudi Arabia,North Korea,4,0,Asian Cup,the United Arab Emirates,28,-28,1611,1403,7,-3,55,103
2019-01-09,Japan,Turkmenistan,3,2,Asian Cup,the United Arab Emirates,3,-3,1733,1250,0,-1,35,150
2019-01-09,Qatar,Lebanon,2,0,Asian Cup,the United Arab Emirates,30,-30,1552,1425,10,-6,68,99
2019-01-09,Uzbekistan,Oman,2,1,Asian Cup,the United Arab Emirates,21,-21,1612,1516,6,-5,54,79
2019-01-10,Jordan,Syria,2,0,Asian Cup,the United Arab Emirates,48,-48,1538,1538,12,-10,73,73
2019-01-10,Thailand,Bahrain,1,0,Asian Cup,the United Arab Emirates,34,-34,1347,1408,14,-6,118,102
2019-01-10,United Arab Emirates,India,2,0,Asian Cup,the United Arab Emirates,12,-12,1486,1271,0,-3,86,143
2019-01-11,Australia,Palestine,3,0,Asian Cup,the United Arab Emirates,13,-13,1707,1383,1,-3,42,110
