date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2002-01-04,Bahrain,Finland,0,2,Prime Minister's Cup,Bahrain,-15,15,1494,1743,-5,3,80,32
2002-01-04,Egypt,Ghana,2,0,Friendly,Egypt,7,-7,1648,1512,0,0,49,72
2002-01-04,Martinique,Guadeloupe,1,3,Frantz Fanon Tournament,Martinique,-35,35,1364,1323,-7,9,115,125
2002-01-05,Albania,Macedonia,0,0,Prime Minister's Cup,Bahrain,-1,1,1473,1448,0,0,86,92
2002-01-05,Kuwait,Zimbabwe,3,0,Friendly,Kuwait,10,-10,1565,1491,2,-1,63,80
2002-01-06,Cuba,Guatemala,0,1,Friendly,Cuba,-9,9,1437,1588,-3,2,96,58
2002-01-06,Egypt,Mali,1,2,Friendly,Egypt,-17,17,1631,1449,-1,7,50,92
2002-01-06,Martinique,Haiti,3,3,Frantz Fanon Tournament,Martinique,0,0,1364,1458,0,0,115,89
2002-01-07,Albania,Finland,1,1,Prime Minister's Cup,Bahrain,10,-10,1483,1733,2,-2,84,34
2002-01-07,Bahrain,Macedonia,1,1,Prime Minister's Cup,Bahrain,-6,6,1488,1454,-2,2,81,91
2002-01-07,Burkina Faso,Cameroon,1,3,Friendly,Burkina Faso,-6,6,1378,1718,0,1,112,38
2002-01-08,Iceland,Kuwait,0,0,Friendly,Oman,-1,1,1601,1566,-1,0,55,63
2002-01-08,Qatar,Zimbabwe,0,2,Friendly,Qatar,-22,22,1537,1513,-3,7,68,72
2002-01-09,Cuba,Guatemala,0,0,Friendly,Cuba,1,-1,1438,1587,0,-1,96,59
2002-01-10,Bahrain,Albania,3,0,Prime Minister's Cup,Bahrain,19,-19,1507,1464,1,-3,80,87
2002-01-10,Finland,Macedonia,3,0,Prime Minister's Cup,Bahrain,9,-9,1742,1445,2,-2,32,93
2002-01-10,Mali,Zambia,1,1,Friendly,Mali,-2,2,1447,1483,1,1,92,84
2002-01-10,Saudi Arabia,Iceland,1,0,Friendly,Saudi Arabia,5,-5,1693,1596,0,-1,42,56
2002-01-11,Egypt,Burkina Faso,2,2,Friendly,Egypt,-8,8,1623,1386,-1,1,51,111
2002-01-11,Grenada,Trinidad and Tobago,2,3,Friendly,Grenada,-6,6,1299,1576,-2,1,132,61
2002-01-11,Iraq,Oman,2,0,Friendly,Qatar,11,-11,1549,1422,1,0,66,99
2002-01-11,Tunisia,Cameroon,0,1,Friendly,Tunisia,-12,12,1669,1730,-3,2,46,36
2002-01-12,Ecuador,Guatemala,1,0,Friendly,Ecuador,4,-4,1739,1583,0,0,33,59
2002-01-12,Ivory Coast,Nigeria,1,1,Friendly,Ivory Coast,0,0,1622,1718,0,0,53,39
2002-01-13,Morocco,Guinea,2,1,Friendly,Morocco,4,-4,1643,1484,0,-1,49,83
2002-01-13,Qatar,Iraq,1,3,Friendly,Qatar,-19,19,1518,1568,-3,3,71,63
2002-01-14,Algeria,Benin,4,0,Friendly,Algeria,4,-4,1516,1234,1,-2,72,150
2002-01-15,Burkina Faso,Zambia,2,1,Friendly,Burkina Faso,10,-10,1396,1473,2,-1,109,85
2002-01-15,South Africa,Angola,1,0,Friendly,South Africa,5,-5,1628,1528,1,-1,50,70
2002-01-16,Gambia,Morocco,0,2,Friendly,The Gambia,-8,8,1348,1651,-2,0,119,49
2002-01-16,Saudi Arabia,Kuwait,1,1,Gulf Cup,Saudi Arabia,-11,11,1682,1577,0,3,42,61
2002-01-17,Qatar,Bahrain,1,0,Gulf Cup,Saudi Arabia,19,-19,1537,1488,3,-2,68,82
2002-01-17,United Arab Emirates,Oman,1,0,Gulf Cup,Saudi Arabia,17,-17,1496,1405,4,-7,80,106
2002-01-18,Canada,Haiti,2,0,CONCACAF Championship,the United States,24,-24,1612,1434,4,-8,54,97
2002-01-18,Costa Rica,Martinique,2,0,CONCACAF Championship,the United States,7,-7,1780,1357,0,-1,26,116
2002-01-19,Dominica,British Virgin Islands,4,1,Friendly,Dominica,6,-6,1059,870,3,-1,179,203
2002-01-19,Mali,Liberia,1,1,African Nations Cup,Mali,-4,4,1443,1494,-2,0,93,81
2002-01-19,Mexico,El Salvador,1,0,CONCACAF Championship,the United States,7,-7,1816,1481,1,-2,21,84
2002-01-19,Oman,Kuwait,3,1,Gulf Cup,Saudi Arabia,44,-44,1449,1533,15,-8,91,69
2002-01-19,Saint Kitts and Nevis,Grenada,1,1,Friendly,Saint Kitts and Nevis,-4,4,1326,1303,0,1,124,131
2002-01-19,United States,South Korea,2,1,CONCACAF Championship,the United States,22,-22,1774,1783,2,-2,27,25
2002-01-20,Antigua and Barbuda,Dominica,4,0,Friendly,Antigua and Barbuda,11,-11,1115,1048,2,-4,170,183
2002-01-20,Burkina Faso,South Africa,0,0,African Nations Cup,Mali,15,-15,1411,1613,2,-2,107,52
2002-01-20,Cameroon,DR Congo,1,0,African Nations Cup,Mali,7,-7,1737,1415,3,-5,33,105
2002-01-20,Costa Rica,Trinidad and Tobago,1,1,CONCACAF Championship,the United States,-13,13,1767,1589,-1,1,27,60
2002-01-20,Haiti,Ecuador,2,0,CONCACAF Championship,the United States,64,-64,1498,1675,18,-10,80,43
