date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2022-01-01,Indonesia,Thailand,2,2,Southeast Asian Championship,Singapore,10,-10,1218,1383,2,-3,155,106
2022-01-02,Sudan,Zimbabwe,0,0,Friendly,Cameroon,0,0,1309,1311,0,0,131,130
2022-01-02,Burkina Faso,Gabon,3,0,Friendly,the United Arab Emirates,11,-11,1571,1402,0,-3,67,101
2022-01-03,Rwanda,Guinea,3,0,Friendly,Rwanda,20,-20,1282,1382,7,-5,137,106
2022-01-04,Gabon,Mauritania,1,1,Friendly,the United Arab Emirates,-1,1,1401,1352,0,0,101,115
2022-01-05,Algeria,Ghana,3,0,Friendly,Qatar,8,-8,1807,1592,0,-1,26,64
2022-01-06,Rwanda,Guinea,0,2,Friendly,Rwanda,-15,15,1267,1397,-5,4,142,102
2022-01-09,Cape Verde,Ethiopia,1,0,African Nations Cup,Cameroon,17,-17,1484,1329,1,-5,86,123
2022-01-09,Cameroon,Burkina Faso,2,1,African Nations Cup,Cameroon,16,-16,1623,1555,3,0,58,67
2022-01-10,Senegal,Zimbabwe,1,0,African Nations Cup,Cameroon,5,-5,1707,1306,0,-2,42,132
2022-01-10,Morocco,Ghana,1,0,African Nations Cup,Cameroon,14,-14,1778,1578,1,-2,30,66
2022-01-10,Guinea,Malawi,1,0,African Nations Cup,Cameroon,17,-17,1414,1264,3,-6,99,143
2022-01-10,Gabon,Comoros,1,0,African Nations Cup,Cameroon,14,-14,1415,1230,3,-2,98,151
2022-01-11,Nigeria,Egypt,1,0,African Nations Cup,Cameroon,26,-26,1669,1632,5,-3,47,53
2022-01-11,Guinea-Bissau,Sudan,0,0,African Nations Cup,Cameroon,-6,6,1382,1315,-3,1,106,129
2022-01-11,Algeria,Sierra Leone,0,0,African Nations Cup,Cameroon,-22,22,1785,1356,-2,6,28,113
2022-01-12,Iceland,Uganda,1,1,Friendly,Turkey,-2,2,1544,1460,0,1,71,88
2022-01-12,Mali,Tunisia,1,0,African Nations Cup,Cameroon,27,-27,1642,1611,9,-9,52,61
2022-01-12,Ivory Coast,Equatorial Guinea,1,0,African Nations Cup,Cameroon,11,-11,1656,1416,0,-2,51,97
2022-01-12,Gambia,Mauritania,1,0,African Nations Cup,Cameroon,25,-25,1376,1327,9,-7,108,123
2022-01-13,Cameroon,Ethiopia,4,1,African Nations Cup,Cameroon,8,-8,1631,1321,4,-4,54,126
2022-01-13,Burkina Faso,Cape Verde,1,0,African Nations Cup,Cameroon,20,-20,1575,1464,0,-1,67,87
2022-01-14,Morocco,Comoros,2,0,African Nations Cup,Cameroon,3,-3,1781,1227,0,-1,30,152
2022-01-14,Malawi,Zimbabwe,2,1,African Nations Cup,Cameroon,28,-28,1292,1278,9,-6,134,138
