date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2020-01-07,Canada,Barbados,4,1,Friendly,the United States,2,-2,1605,1102,0,0,58,181
2020-01-09,Sweden,Moldova,1,0,Friendly,Qatar,1,-1,1860,1238,0,0,18,147
2020-01-10,Canada,Barbados,4,1,Friendly,the United States,2,-2,1607,1100,1,0,57,181
2020-01-12,Sweden,Kosovo,1,0,Friendly,Qatar,3,-3,1863,1561,0,0,18,66
2020-01-15,Iceland,Canada,1,0,Friendly,the United States,8,-8,1680,1599,1,-1,44,58
2020-01-15,Bangladesh,Palestine,0,2,Bangabandhu Gold Cup,Bangladesh,-3,3,834,1388,0,0,208,109
2020-01-16,Burundi,Mauritius,4,1,Bangabandhu Gold Cup,Bangladesh,16,-16,1179,1011,4,-1,164,188
2020-01-17,Palestine,Sri Lanka,2,0,Bangabandhu Gold Cup,Bangladesh,1,-1,1389,674,1,0,108,226
2020-01-18,Burundi,Seychelles,3,1,Bangabandhu Gold Cup,Bangladesh,8,-8,1187,904,1,0,163,199
2020-01-19,Bangladesh,Sri Lanka,3,0,Bangabandhu Gold Cup,Bangladesh,10,-10,844,664,1,-1,207,227
2020-01-19,Iceland,El Salvador,1,0,Friendly,the United States,5,-5,1685,1484,1,-2,43,86
2020-01-20,Mauritius,Seychelles,2,2,Bangabandhu Gold Cup,Bangladesh,-4,4,1007,908,0,0,188,199
2020-01-22,Palestine,Seychelles,1,0,Bangabandhu Gold Cup,Bangladesh,2,-2,1391,906,0,0,108,199
2020-01-23,Bangladesh,Burundi,0,3,Bangabandhu Gold Cup,Bangladesh,-10,10,834,1197,-1,5,208,158
2020-01-25,Palestine,Burundi,3,1,Bangabandhu Gold Cup,Bangladesh,11,-11,1402,1186,2,-5,106,163
2020-01-25,Eritrea,Sudan,0,1,Friendly,Eritrea,-10,10,1139,1276,-2,3,176,138
2020-02-01,United States,Costa Rica,1,0,Friendly,the United States,6,-6,1726,1651,2,0,37,48
2020-02-23,Belarus,Uzbekistan,1,0,Friendly,the United Arab Emirates,12,-12,1505,1567,4,-2,79,65
2020-02-25,Nicaragua,Panama,0,0,Friendly,Nicaragua,6,-6,1194,1498,3,-3,159,83
2020-02-26,Bulgaria,Belarus,0,1,Friendly,Bulgaria,-15,15,1559,1520,-2,1,66,78
2020-03-04,Guatemala,Panama,0,2,Friendly,Guatemala,-19,19,1482,1517,-4,4,86,79
2020-03-11,Jamaica,Bermuda,2,0,Friendly,Jamaica,3,-3,1584,1296,0,-4,61,135
2020-09-03,Uzbekistan,Tajikistan,2,1,Friendly,Uzbekistan,2,-2,1569,1235,0,-1,64,149
2020-09-03,Latvia,Andorra,0,0,European Nations League D,Latvia,-12,12,1242,1119,-2,0,147,180
2020-09-03,Faroe Islands,Malta,3,2,European Nations League D,the Faroe Islands,11,-11,1236,1156,2,-2,148,170
2020-09-03,Slovenia,Greece,0,0,European Nations League C,Slovenia,-4,4,1582,1611,-1,0,61,57
2020-09-03,Kosovo,Moldova,1,1,European Nations League C,Italy,-15,15,1546,1253,-4,2,69,145
2020-09-03,Turkey,Hungary,0,1,European Nations League B,Turkey,-33,33,1745,1651,-2,7,28,48
2020-09-03,Russia,Serbia,3,1,European Nations League B,Russia,22,-22,1816,1772,1,-3,21,25
2020-09-03,Finland,Wales,0,1,European Nations League B,Finland,-18,18,1628,1801,-4,2,53,23
2020-09-03,Bulgaria,Ireland,1,1,European Nations League B,Bulgaria,4,-4,1563,1725,1,-2,65,38
2020-09-03,Ukraine,Switzerland,2,1,European Nations League A,Ukraine,17,-17,1872,1880,2,-1,17,16
2020-09-03,Germany,Spain,1,1,European Nations League A,Germany,-2,2,1962,2029,0,0,11,4
2020-09-04,Lithuania,Kazakhstan,0,2,European Nations League C,Lithuania,-35,35,1285,1395,-9,7,136,109
2020-09-04,Belarus,Albania,0,2,European Nations League C,Belarus,-38,38,1482,1569,-7,10,85,64
2020-09-04,Slovakia,Czechia,1,3,European Nations League B,Slovakia,-38,38,1696,1773,-7,9,42,25
2020-09-04,Scotland,Israel,1,1,European Nations League B,Scotland,-10,10,1629,1548,-2,1,52,70
2020-09-04,Romania,Northern Ireland,1,1,European Nations League B,Romania,-7,7,1694,1685,-1,1,43,44
2020-09-04,Norway,Austria,1,2,European Nations League B,Norway,-25,25,1697,1766,-2,3,41,28
2020-09-04,Netherlands,Poland,1,0,European Nations League A,the Netherlands,5,-5,2022,1784,0,0,5,24
2020-09-04,Italy,Bosnia and Herzegovina,1,1,European Nations League A,Italy,-16,16,1952,1699,-3,4,12,40
2020-09-05,Gibraltar,San Marino,1,0,European Nations League D,Gibraltar,4,-4,1089,816,1,0,182,209
2020-09-05,North Macedonia,Armenia,2,1,European Nations League C,North Macedonia,10,-10,1556,1440,2,-1,69,95
2020-09-05,Estonia,Georgia,0,1,European Nations League C,Estonia,-19,19,1414,1569,-5,5,101,64
2020-09-05,Cyprus,Montenegro,0,2,European Nations League C,Cyprus,-28,28,1370,1551,-5,6,113,71
2020-09-05,Azerbaijan,Luxembourg,1,2,European Nations League C,Azerbaijan,-28,28,1348,1367,-4,6,117,115
2020-09-05,Sweden,France,0,1,European Nations League A,Sweden,-15,15,1848,2061,0,0,19,3
2020-09-05,Portugal,Croatia,4,1,European Nations League A,Portugal,19,-19,2005,1901,0,0,6,13
2020-09-05,Iceland,England,0,1,European Nations League A,Iceland,-11,11,1674,1966,-1,2,45,9
2020-09-05,Denmark,Belgium,0,2,European Nations League A,Denmark,-22,22,1869,2105,-2,0,17,1
2020-09-06,Malta,Latvia,1,1,European Nations League D,Malta,-1,1,1155,1243,-1,-1,171,148
2020-09-06,Andorra,Faroe Islands,0,1,European Nations League D,Andorra,-19,19,1100,1255,0,4,180,144
