date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2004-01-01,Bermuda,Barbados,0,4,Dudley Eve Memorial Trophy,Bermuda,-28,28,1242,1397,-8,7,146,109
2004-01-01,Kuwait,Yemen,4,0,Gulf Cup,Kuwait,6,-6,1525,1173,2,-1,72,160
2004-01-01,Saudi Arabia,Bahrain,1,0,Gulf Cup,Kuwait,12,-12,1674,1511,3,-6,44,78
2004-01-03,Bahrain,Oman,1,0,Gulf Cup,Kuwait,23,-23,1534,1537,7,-4,71,70
2004-01-03,Qatar,United Arab Emirates,0,0,Gulf Cup,Kuwait,-4,4,1517,1459,-4,1,77,90
2004-01-04,Kuwait,Saudi Arabia,1,1,Gulf Cup,Kuwait,3,-3,1528,1671,0,0,73,44
2004-01-05,Qatar,Yemen,3,0,Gulf Cup,Kuwait,8,-8,1525,1165,3,-1,74,161
2004-01-06,Saudi Arabia,Oman,2,1,Gulf Cup,Kuwait,13,-13,1684,1524,2,-4,42,74
2004-01-07,Bahrain,United Arab Emirates,3,1,Gulf Cup,Kuwait,24,-24,1558,1435,4,-6,66,96
2004-01-08,Cuba,Martinique,0,0,Friendly,Cuba,-6,6,1534,1427,-1,1,71,101
2004-01-08,Egypt,Rwanda,5,1,Friendly,Egypt,2,-2,1701,1312,0,0,39,128
2004-01-08,Kuwait,Qatar,1,2,Gulf Cup,Kuwait,-26,26,1502,1551,-10,5,82,68
2004-01-08,Saudi Arabia,Yemen,2,0,Gulf Cup,Kuwait,3,-3,1687,1162,0,-1,42,162
2004-01-10,Kuwait,Bahrain,0,4,Gulf Cup,Kuwait,-42,42,1460,1600,-7,11,89,55
2004-01-10,Mauritius,South Africa,2,0,COSAFA Cup,Mauritius,48,-48,1347,1596,8,-8,122,58
2004-01-10,Suriname,Netherlands Antilles,1,1,Parbo Beer Cup,Suriname,-9,9,1281,1159,0,2,133,163
