date,team_a,team_b,goals_a,goals_b,competition,location,rating_change_a,rating_change_b,rating_a,rating_b,rank_change_a,rank_change_b,rank_a,rank_b
2018-01-02,Iraq,United Arab Emirates,0,0,Gulf Cup,Kuwait,-1,1,1572,1564,0,2,67,69
2018-01-02,Oman,Bahrain,1,0,Gulf Cup,Kuwait,15,-15,1531,1405,3,-7,75,108
2018-01-05,Oman,United Arab Emirates,0,0,Gulf Cup,Kuwait,2,-2,1533,1562,1,-2,74,71
2018-01-07,Estonia,Sweden,1,1,Friendly,the United Arab Emirates,7,-7,1513,1816,2,0,79,20
2018-01-11,Finland,Jordan,2,1,Friendly,the United Arab Emirates,7,-7,1601,1475,2,-2,63,87
2018-01-14,Indonesia,Iceland,1,4,Friendly,Indonesia,-2,2,1235,1813,0,0,154,21
2018-01-27,South Korea,Moldova,1,0,Friendly,Turkey,2,-2,1762,1328,0,-1,25,123
2018-01-28,United States,Bosnia and Herzegovina,0,0,Friendly,the United States,-4,4,1747,1727,0,0,27,36
2018-01-30,Azerbaijan,Moldova,0,0,Friendly,Turkey,-2,2,1398,1330,0,1,109,122
2018-01-30,Jamaica,South Korea,2,2,Friendly,Turkey,5,-5,1569,1757,0,0,69,25
2018-01-31,Mexico,Bosnia and Herzegovina,1,0,Friendly,the United States,7,-7,1854,1720,0,0,17,36
2018-02-03,South Korea,Latvia,1,0,Friendly,Turkey,2,-2,1759,1360,0,0,25,120
2018-02-26,Saudi Arabia,Moldova,3,0,Friendly,Saudi Arabia,4,-4,1574,1326,1,-1,67,123
2018-02-28,Iraq,Saudi Arabia,4,1,Friendly,Iraq,13,-13,1585,1561,2,-4,66,71
2018-03-17,Iran,Sierra Leone,4,0,Friendly,Iran,2,-2,1802,1374,0,0,22,115
2018-03-20,Tahiti,New Caledonia,0,0,Friendly,Tahiti,-3,3,1212,1209,-1,0,159,161
2018-03-21,Andorra,Liechtenstein,1,0,Friendly,Spain,14,-14,1026,1153,1,-3,187,171
2018-03-21,Angola,South Africa,1,1,Friendly tournament,Zambia,11,-11,1250,1530,3,-3,150,75
2018-03-21,Antigua and Barbuda,Bermuda,3,2,Friendly,Antigua and Barbuda,7,-7,1209,1189,1,-3,161,166
2018-03-21,Iraq,Qatar,2,3,Friendship Tournament,Iraq,-24,24,1561,1479,-4,7,70,88
2018-03-21,Jordan,Kuwait,1,0,Friendly,Jordan,6,-6,1481,1420,2,-2,85,100
2018-03-21,Laos,Cambodia,0,1,Friendly,Laos,-12,12,773,826,0,0,212,208
2018-03-21,Madagascar,Togo,0,0,Friendly,France,0,0,1365,1379,0,0,119,113
2018-03-21,Zambia,Zimbabwe,2,2,Friendly tournament,Zambia,-6,6,1492,1467,-2,0,84,90
2018-03-22,Algeria,Tanzania,4,1,Friendly,Algeria,4,-4,1539,1290,0,-3,72,134
2018-03-22,Bahrain,Palestine,0,0,Friendly,Bahrain,-3,3,1402,1414,0,0,108,103
2018-03-22,Belize,Grenada,4,2,Friendly,Belize,9,-9,1168,1100,1,0,169,174
2018-03-22,Burkina Faso,Guinea-Bissau,2,0,Friendly,France,4,-4,1606,1285,0,0,62,135
2018-03-22,China,Wales,0,6,China Cup,China,-23,23,1541,1787,-3,1,71,23
2018-03-22,Denmark,Panama,1,0,Friendly,Denmark,3,-3,1843,1667,1,0,18,48
2018-03-22,Dominican Republic,Turks and Caicos Islands,4,0,Friendly,the Dominican Republic,1,-1,1250,760,2,0,149,213
2018-03-22,Faroe Islands,Latvia,1,1,Friendly,Spain,2,-2,1282,1358,1,0,136,120
2018-03-22,Kyrgyzstan,Myanmar,5,1,Asian Cup qualifier,South Korea,26,-26,1237,1070,6,-5,154,181
2018-03-22,Macao,Mauritius,0,1,Friendly,Macao,-3,3,676,1070,-1,1,224,181
2018-03-22,Malaysia,Mongolia,2,2,Friendly,Malaysia,-9,9,1057,664,0,0,183,226
2018-03-22,Malta,Luxembourg,0,1,Friendly,Malta,-10,10,1204,1331,-4,2,162,122
2018-03-22,Nicaragua,Cuba,3,1,Friendly,Nicaragua,12,-12,1278,1295,3,-3,138,130
2018-03-22,Philippines,Fiji,3,2,Friendly,the Philippines,10,-10,1173,1242,0,-3,168,152
2018-03-22,Slovakia,United Arab Emirates,2,1,King's Cup,Thailand,8,-8,1755,1554,1,-1,26,70
2018-03-22,Thailand,Gabon,0,0,King's Cup,Thailand,-4,4,1404,1415,-1,1,107,102
2018-03-23,Argentina,Italy,2,0,Friendly,England,12,-12,1996,1893,2,-1,4,11
2018-03-23,Austria,Slovenia,3,0,Friendly,Austria,9,-9,1720,1630,3,0,36,52
2018-03-23,Azerbaijan,Belarus,0,1,Friendly,Azerbaijan,-10,10,1388,1506,-1,0,110,82
2018-03-23,Bulgaria,Bosnia and Herzegovina,0,1,Friendly,Bulgaria,-10,10,1609,1730,-5,2,58,34
2018-03-23,Curaçao,Bolivia,1,1,Friendly,Curaçao,8,-8,1274,1698,3,-3,139,44
2018-03-23,Cyprus,Montenegro,0,0,Friendly,Cyprus,3,-3,1412,1609,1,-2,104,58
2018-03-23,Finland,Macedonia,0,0,Friendly,Turkey,-2,2,1599,1520,-2,0,65,78
2018-03-23,France,Colombia,2,3,Friendly,France,-14,14,1974,1940,-1,0,6,8
2018-03-23,Gambia,Central African Republic,1,1,Friendly,The Gambia,-2,2,1272,1295,-2,1,141,130
2018-03-23,Germany,Spain,1,1,Friendly,Germany,-5,5,2103,2035,0,0,2,3
2018-03-23,Greece,Switzerland,0,1,Friendly,Greece,-7,7,1653,1872,0,0,49,14
2018-03-23,Guadeloupe,Trinidad and Tobago,0,1,Friendly,Guadeloupe,-8,8,1257,1427,-1,3,145,98
2018-03-23,Hungary,Kazakhstan,2,3,Friendly,Hungary,-18,18,1593,1357,-9,0,66,121
2018-03-23,Japan,Mali,1,1,Friendly,Belgium,-5,5,1701,1516,0,1,41,79
2018-03-23,Mexico,Iceland,3,0,Friendly,the United States,15,-15,1869,1798,2,0,15,21
2018-03-23,Morocco,Serbia,2,1,Friendly,Italy,13,-13,1701,1770,4,0,41,24
2018-03-23,Netherlands,England,0,1,Friendly,the Netherlands,-12,12,1883,1944,-1,0,12,7
2018-03-23,Norway,Australia,4,1,Friendly,Norway,20,-20,1601,1709,4,-4,62,39
2018-03-23,Peru,Croatia,2,0,Friendly,the United States,14,-14,1895,1842,2,-2,10,18
2018-03-23,Poland,Nigeria,0,1,Friendly,Poland,-16,16,1825,1711,0,6,19,38
2018-03-23,Portugal,Egypt,2,1,Friendly,Switzerland,2,-2,1995,1648,-1,0,5,50
2018-03-23,Russia,Brazil,0,3,Friendly,Russia,-5,5,1691,2118,-2,0,45,1
2018-03-23,Saudi Arabia,Ukraine,1,1,Friendly,Spain,5,-5,1566,1733,0,-1,68,33
2018-03-23,Scotland,Costa Rica,0,1,Friendly,Scotland,-12,12,1707,1757,-3,5,40,26
2018-03-23,Senegal,Uzbekistan,1,1,Friendly,Morocco,-4,4,1742,1615,-2,3,31,54
2018-03-23,Singapore,Maldives,3,2,Friendly,Singapore,5,-5,1062,939,0,0,183,197
2018-03-23,Tahiti,New Caledonia,4,3,Friendly,Tahiti,7,-7,1219,1202,2,-2,157,162
2018-03-23,Tunisia,Iran,1,0,Friendly,Tunisia,12,-12,1630,1790,2,0,52,22
2018-03-23,Turkey,Ireland,1,0,Friendly,Turkey,8,-8,1719,1724,2,-1,37,35
2018-03-23,Uruguay,Czechia,2,0,China Cup,China,13,-13,1879,1699,0,-5,13,43
2018-03-24,Angola,Zimbabwe,2,2,Friendly tournament,Zambia,8,-8,1258,1459,4,0,145,90
2018-03-24,Armenia,Estonia,0,0,Friendly,Armenia,-2,2,1478,1515,0,1,87,79
2018-03-24,Botswana,Lesotho,1,0,Friendly,Botswana,8,-8,1261,1258,4,-2,143,145
2018-03-24,Canada,New Zealand,1,0,Friendly,Spain,10,-10,1533,1514,3,-4,74,80
2018-03-24,Georgia,Lithuania,4,0,Friendly,Georgia,10,-10,1491,1396,1,-2,84,108
2018-03-24,Israel,Romania,1,2,Friendly,Israel,-8,8,1525,1695,-3,1,76,45
2018-03-24,Ivory Coast,Togo,2,2,Friendly,France,-6,6,1595,1385,-3,2,65,111
2018-03-24,Kenya,Comoros,2,2,Friendly,Morocco,-8,8,1386,1050,-1,0,110,186
2018-03-24,Kosovo,Madagascar,1,0,Friendly,France,10,-10,1381,1355,5,-2,112,121
2018-03-24,Mauritania,Guinea,2,0,Friendly,Mauritania,18,-18,1315,1449,4,-6,125,96
2018-03-24,Northern Ireland,South Korea,2,1,Friendly,Northern Ireland,10,-10,1684,1749,0,-3,47,28
2018-03-24,Qatar,Syria,2,2,Friendship Tournament,Iraq,5,-5,1484,1606,3,-4,85,60
2018-03-24,Sweden,Chile,1,2,Friendly,Sweden,-12,12,1804,1871,0,1,20,15
2018-03-24,Uganda,Sao Tome and Principe,3,1,Friendly,Uganda,2,-2,1459,1072,2,-1,90,180
2018-03-24,Zambia,South Africa,0,2,Friendly tournament,Zambia,-26,26,1466,1556,-5,5,89,70
2018-03-25,Barbados,Bermuda,0,0,Friendly,Barbados,-1,1,1136,1190,0,1,173,165
2018-03-25,Congo,Guinea-Bissau,2,0,Friendly,France,11,-11,1388,1274,6,-3,109,138
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2,1,Friendly,the Dominican Republic,7,-7,1257,1247,3,-2,147,150
