match_id,date,team_a,team_b,group,rating_a_before,rating_b_before,elo_diff,rank_diff,log_market_value_a,log_market_value_b,market_value_rel_mean_diff,avg_player_value_diff,form_diff_last5,weighted_goals_for_diff_last5,weighted_goals_against_diff_last5,opponent_strength_diff_last5,rating_change_diff_last5,team_a_matches_played_before,team_b_matches_played_before,team_a_days_since_last_match,team_b_days_since_last_match,days_since_match_diff,team_a_tournament_matches_played,team_b_tournament_matches_played,tournament_points_diff,tournament_goal_diff_diff,competition_weight,is_home_adv
18,2026-06-16 22:00:00+00:00,Iraq,Norway,Group I,1607.0,1912.0,-305.0,51,3.007166651179654,6.375876246018314,-5.159162679304961,-21.9,0.19999999999999996,-1.025210744083271,0.04533793802526054,-163.80000000000018,-4.2,337,229,60,60,0,0,0,0,0,5.0,0
19,2026-06-17 01:00:00+00:00,Argentina,Algeria,Group J,2113.0,1743.0,370.0,-33,6.637913124658687,5.432848259505643,4.862947599246149,17.18,1.0,0.62336595308884,-0.3387121821762241,-211.0,1.8,298,249,60,60,0,0,0,0,0,5.0,0
20,2026-06-17 04:00:00+00:00,Austria,Jordan,Group J,1827.0,1690.0,137.0,-27,5.563370320939456,2.9575110607337933,2.1959205121338745,9.38,0.3999999999999999,-0.021611820692137185,-0.616536024123937,-128.0,-9.8,223,333,60,60,0,0,0,0,0,5.0,0
23,2026-06-17 17:00:00+00:00,Portugal,DR Congo,Group K,1984.0,1655.0,329.0,-49,6.873163834212518,0.0,8.776406271315754,37.12,-0.3999999999999999,1.3368261836880275,0.5973909196976153,151.0,-15.8,284,222,60,60,0,0,0,0,0,5.0,0
22,2026-06-17 20:00:00+00:00,England,Croatia,Group L,2020.0,1930.0,90.0,-6,7.182352111885263,5.878575765029364,8.719109525710271,36.879999999999995,-0.3999999999999999,-0.31039977469082425,-0.9111098677583729,139.80000000000018,-1.0,271,262,60,60,0,0,0,0,0,5.0,0
21,2026-06-17 23:00:00+00:00,Ghana,Panama,Group L,1505.0,1737.0,-232.0,46,5.684191824891197,3.49195174493062,2.376723576044504,8.080000000000002,-1.0,-0.6891469323205333,0.8789722287007243,180.60000000000014,0.4,263,333,60,60,0,0,0,0,0,5.0,0
24,2026-06-18 02:00:00+00:00,Uzbekistan,Colombia,Group K,1727.0,1975.0,-248.0,35,4.378645926514404,5.7002763353269135,-1.9937448526402481,-9.49,0.40000000000000013,-0.2935155397750917,-0.2889521037677871,-241.0,6.2,263,270,60,60,0,0,0,0,0,5.0,0
25,2026-06-18 16:00:00+00:00,Czechia,South Africa,Group A,1726.0,1524.0,202.0,-39,5.285384091136137,3.983413001514819,1.30718432474219,5.17,0.8,0.8474535188904402,-0.39515451399185064,-254.79999999999995,-1.0,247,322,60,60,0,0,0,0,0,5.0,0
26,2026-06-18 19:00:00+00:00,Switzerland,Bosnia and Herzegovina,Group B,1889.0,1594.0,295.0,-50,5.763936397475948,0.0,2.8884835562382216,12.22,-0.6000000000000001,-0.18086392441732513,0.06534193316881975,118.20000000000005,-18.0,248,209,60,60,0,0,0,0,0,5.0,0
27,2026-06-18 22:00:00+00:00,Canada,Qatar,Group B,1784.0,1425.0,359.0,-71,5.40918767537946,3.0666566118906897,1.8369518535547729,6.220000000000001,1.0,0.2904088405505971,-1.2080442240372582,185.0,10.6,224,358,60,60,0,0,0,0,0,5.0,1
28,2026-06-19 01:00:00+00:00,Mexico,South Korea,Group A,1858.0,1752.0,106.0,-12,4.461299815568389,4.972587226458726,-0.5256749041264773,1.0600000000000005,0.40000000000000013,0.3992783872872394,-0.7276090355190628,62.40000000000009,6.199999999999999,404,327,60,60,0,0,0,0,0,5.0,1
32,2026-06-19 19:00:00+00:00,United States,Australia,Group D,1721.0,1783.0,-62.0,15,5.879694646264972,3.959478946584441,2.7763456398389224,11.23,0.6000000000000001,1.3556014529143223,0.40793787687942973,184.60000000000014,8.0,368,255,60,60,0,0,0,0,0,5.0,1
30,2026-06-19 22:00:00+00:00,Scotland,Morocco,Group C,1767.0,1821.0,-54.0,5,5.3415205238486845,5.478970866241294,-0.2798445813143895,-0.2400000000000002,-0.40000000000000013,0.701708803097838,0.8793095143088815,-58.799999999999955,4.2,205,260,60,60,0,0,0,0,0,5.0,0
29,2026-06-20 01:00:00+00:00,Brazil,Haiti,Group C,1984.0,1532.0,452.0,-72,6.809260032233038,4.040943785494986,7.724328885340825,32.49,0.0,1.4781134614628768,0.16494855553928156,306.20000000000005,-4.0,304,225,60,60,0,0,0,0,0,5.0,0
31,2026-06-20 04:00:00+00:00,Turkey,Paraguay,Group D,1902.0,1833.0,69.0,-8,0.0,4.93662988078576,-1.2577999868631802,-5.53,1.4000000000000001,1.1388078765963183,-0.725139390909971,-38.799999999999955,13.8,257,254,60,60,0,0,0,0,0,5.0,0
35,2026-06-20 17:00:00+00:00,Netherlands,Sweden,Group F,1961.0,1719.0,242.0,-35,6.638567789166521,6.078513423394504,2.97961266591551,13.77,0.8000000000000003,0.6164771852432214,-1.0061982305709116,-74.0,-3.4000000000000004,276,282,60,60,0,0,0,0,0,5.0,0
33,2026-06-20 20:00:00+00:00,Germany,Ivory Coast,Group E,1923.0,1676.0,247.0,-41,6.914234245079846,6.249782173429845,4.443680936958423,18.790000000000003,0.6000000000000001,0.5500208366148986,-0.29472637987473005,-12.800000000000182,-3.5999999999999996,298,269,60,60,0,0,0,0,0,5.0,0
34,2026-06-21 00:00:00+00:00,Ecuador,Curaçao,Group E,1933.0,1436.0,497.0,-81,5.55817850079741,3.359680701459222,2.0969699419453613,7.539999999999999,0.3999999999999999,-0.3056721889144196,-0.9870712354200557,346.60000000000014,1.7999999999999998,264,121,60,60,0,0,0,0,0,5.0,0
36,2026-06-21 04:00:00+00:00,Tunisia,Japan,Group F,1636.0,1904.0,-268.0,45,4.252060308213856,5.589306464757314,-1.7943885568192728,-7.209999999999999,-1.8,-1.3700543580021887,0.6571313186663217,-224.5999999999999,-13.600000000000001,282,340,60,60,0,0,0,0,0,5.0,0
38,2026-06-21 16:00:00+00:00,Spain,Saudi Arabia,Group H,2165.0,1568.0,597.0,-70,7.148345743900068,3.3541057741283047,11.308194849356044,47.68,1.4000000000000001,2.263027774225444,-1.1069015583802282,59.0,2.5999999999999996,293,357,60,60,0,0,0,0,0,5.0,0
39,2026-06-21 19:00:00+00:00,Belgium,Iran,Group G,1867.0,1760.0,107.0,-12,6.3265071909196005,3.597312260588446,4.753810940949995,20.29,0.6000000000000001,1.7011204362298697,0.7124378694807587,-72.40000000000009,6.6000000000000005,243,297,60,60,0,0,0,0,0,5.0,0
37,2026-06-21 22:00:00+00:00,Uruguay,Cape Verde,Group H,1892.0,1549.0,343.0,-58,5.8971538676367405,4.06182137051654,2.7822572088299644,10.760000000000002,0.0,-0.41872902591016326,0.12060281253954463,233.5999999999999,-4.4,270,162,60,60,0,0,0,0,0,5.0,0
40,2026-06-22 01:00:00+00:00,New Zealand,Egypt,Group G,1585.0,1689.0,-104.0,14,3.520460802488973,4.915811662574783,-0.933391270077861,-3.76,-0.8,-0.0702384172494468,0.8064898537974711,10.200000000000045,-9.4,149,295,60,60,0,0,0,0,0,5.0,0
43,2026-06-22 17:00:00+00:00,Argentina,Austria,Group J,2113.0,1827.0,286.0,-21,6.637913124658687,5.563370320939456,4.5728259826088715,16.299999999999997,1.0,1.0289928127043948,-0.34004533332517595,-140.0,6.3999999999999995,298,223,60,60,0,0,0,0,0,5.0,0
42,2026-06-22 21:00:00+00:00,France,Iraq,Group I,2081.0,1607.0,474.0,-60,7.295735072749282,3.007166651179654,13.221633310933374,55.99,0.8,2.0605520291159807,-0.006535450703573642,157.0,0.3999999999999999,292,337,60,60,0,0,0,0,0,5.0,0
41,2026-06-23 00:00:00+00:00,Norway,Senegal,Group I,1912.0,1878.0,34.0,-5,6.375876246018314,6.142682358850603,1.1113749703158389,5.98,-1.4,0.5066621213512978,0.6572341867883048,88.20000000000005,-6.799999999999999,229,250,60,60,0,0,0,0,0,5.0,0
44,2026-06-23 03:00:00+00:00,Jordan,Algeria,Group J,1690.0,1743.0,-53.0,15,2.9575110607337933,5.432848259505643,-1.9057988954965972,-8.5,-0.3999999999999999,-0.3840150389234176,0.6178691752728889,57.0,5.2,333,249,60,60,0,0,0,0,0,5.0,0
47,2026-06-23 17:00:00+00:00,Portugal,Uzbekistan,Group K,1984.0,1727.0,257.0,-35,6.873163834212518,4.378645926514404,8.060378845677734,35.15,-0.19999999999999996,1.2189066870365526,0.2967208076110558,66.40000000000009,-14.4,284,263,60,60,0,0,0,0,0,5.0,0
45,2026-06-23 20:00:00+00:00,England,Ghana,Group L,2020.0,1505.0,515.0,-78,7.182352111885263,5.684191824891197,9.293168348348043,41.12,1.4,1.3574924872248844,-1.2917998785566158,-56.799999999999955,-0.6000000000000001,271,263,60,60,0,0,0,0,0,5.0,0
46,2026-06-23 23:00:00+00:00,Panama,Croatia,Group L,1737.0,1930.0,-193.0,26,3.49195174493062,5.878575765029364,-2.9507823986822763,-12.32,-0.7999999999999998,-0.9787453295951754,-0.4982822179024814,16.0,-0.8,333,262,60,60,0,0,0,0,0,5.0,0
48,2026-06-24 02:00:00+00:00,Colombia,DR Congo,Group K,1975.0,1655.0,320.0,-49,5.7002763353269135,0.0,2.709772278278268,11.46,-0.6000000000000001,0.41143503642656665,0.5896222158543467,325.5999999999999,-7.6,270,222,60,60,0,0,0,0,0,5.0,0
51,2026-06-24 19:00:00+00:00,Switzerland,Canada,Group B,1889.0,1784.0,105.0,-9,5.763936397475948,5.40918767537946,0.8653627530732586,5.2700000000000005,-0.6000000000000001,0.8142253445762788,0.5911846728541867,113.20000000000005,-0.3999999999999999,248,224,60,60,0,0,0,0,0,5.0,0
52,2026-06-24 19:00:00+00:00,Bosnia and Herzegovina,Qatar,Group B,1594.0,1425.0,169.0,-30,0.0,3.0666566118906897,-0.1861689496101901,-0.73,1.0,1.285498109544201,-0.6822014843518911,180.0,28.200000000000003,209,358,60,60,0,0,0,0,0,5.0,0
49,2026-06-24 22:00:00+00:00,Scotland,Brazil,Group C,1767.0,1984.0,-217.0,24,5.3415205238486845,6.809260032233038,-6.342385949665769,-26.83,-0.19999999999999996,-0.3817187829748785,0.2567594567485294,-130.0,1.0,205,304,60,60,0,0,0,0,0,5.0,0
50,2026-06-24 22:00:00+00:00,Morocco,Haiti,Group C,1821.0,1532.0,289.0,-53,5.478970866241294,4.040943785494986,1.6617875169894452,5.9,0.20000000000000018,0.3946858753901602,-0.4576015020210705,235.0,-7.2,260,225,60,60,0,0,0,0,0,5.0,0
53,2026-06-25 01:00:00+00:00,Czechia,Mexico,Group A,1726.0,1858.0,-132.0,20,5.285384091136137,4.461299815568389,1.0079679865802333,0.1899999999999995,-0.6000000000000001,0.5209799525598386,0.9522844561638351,-414.20000000000005,-12.399999999999999,247,404,60,60,0,0,0,0,0,5.0,0
54,2026-06-25 01:00:00+00:00,South Africa,South Korea,Group A,1524.0,1752.0,-228.0,47,3.983413001514819,4.972587226458726,-0.824891242288434,-3.9199999999999995,-1.0,0.07280482095663787,0.619829934636623,-97.0,-5.199999999999999,322,327,60,60,0,0,0,0,0,5.0,0
55,2026-06-25 20:00:00+00:00,Curaçao,Ivory Coast,Group E,1436.0,1676.0,-240.0,38,3.359680701459222,6.249782173429845,-4.448410192151256,-18.81,-1.4,-1.3643812550705028,0.5023982016762928,-185.80000000000018,-13.399999999999999,121,269,60,60,0,0,0,0,0,5.0,0
