MatchNumber,RoundNumber,DateUtc,Location,HomeTeam,AwayTeam,Group,HomeTeamScore,AwayTeamScore
71,3,2026-06-27 23:30:00Z,Miami Stadium,Colombia,Portugal,Group K,,
72,3,2026-06-27 23:30:00Z,Atlanta Stadium,Congo DR,Uzbekistan,Group K,,
69,3,2026-06-28 02:00:00Z,Kansas City Stadium,Algeria,Austria,Group J,,
70,3,2026-06-28 02:00:00Z,Dallas Stadium,Jordan,Argentina,Group J,,
73,4,2026-06-28 19:00:00Z,Los Angeles Stadium,2A,2B,,,
76,4,2026-06-29 17:00:00Z,Houston Stadium,1C,2F,,,
74,4,2026-06-29 20:30:00Z,Boston Stadium,1E,3ABCDF,,,
75,4,2026-06-30 01:00:00Z,Monterrey Stadium,1F,2C,,,
78,4,2026-06-30 17:00:00Z,Dallas Stadium,2E,2I,,,
77,4,2026-06-30 21:00:00Z,New York/New Jersey Stadium,1I,3CDFGH,,,
79,4,2026-07-01 01:00:00Z,Mexico City Stadium,1A,3CEFHI,,,
80,4,2026-07-01 16:00:00Z,Atlanta Stadium,1L,3EHIJK,,,
82,4,2026-07-01 20:00:00Z,Seattle Stadium,1G,3AEHIJ,,,
81,4,2026-07-02 00:00:00Z,San Francisco Bay Area Stadium,1D,3BEFIJ,,,
84,4,2026-07-02 19:00:00Z,Los Angeles Stadium,1H,2J,,,
83,4,2026-07-02 23:00:00Z,Toronto Stadium,2K,2L,,,
85,4,2026-07-03 03:00:00Z,BC Place Vancouver,1B,3EFGIJ,,,
88,4,2026-07-03 18:00:00Z,Dallas Stadium,2D,2G,,,
86,4,2026-07-03 22:00:00Z,Miami Stadium,1J,2H,,,
87,4,2026-07-04 01:30:00Z,Kansas City Stadium,1K,3DEIJL,,,
90,5,2026-07-04 17:00:00Z,Houston Stadium,To be announced,To be announced,,,
89,5,2026-07-04 21:00:00Z,Philadelphia Stadium,To be announced,To be announced,,,
91,5,2026-07-05 20:00:00Z,New York/New Jersey Stadium,To be announced,To be announced,,,
92,5,2026-07-06 00:00:00Z,Mexico City Stadium,To be announced,To be announced,,,
93,5,2026-07-06 19:00:00Z,Dallas Stadium,To be announced,To be announced,,,
